logged_at,symbol,kind,dimension,weight,score,live
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,catalyst,10.0,0.1,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,earnings_inflection,20.0,0.822,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.632,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,rs_and_stage,20.0,0.83,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,smart_money,12.0,0.857,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-22,LAURUSLABS,RE-ENTRY WINDOW,valuation_sanity,5.0,0.5,True
2026-07-22,OFSS,RE-ENTRY WINDOW,catalyst,10.0,0.1,True
2026-07-22,OFSS,RE-ENTRY WINDOW,earnings_inflection,20.0,1.0,True
2026-07-22,OFSS,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.96,True
2026-07-22,OFSS,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-22,OFSS,RE-ENTRY WINDOW,rs_and_stage,20.0,0.792,True
2026-07-22,OFSS,RE-ENTRY WINDOW,smart_money,12.0,0.73,True
2026-07-22,OFSS,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-22,OFSS,RE-ENTRY WINDOW,valuation_sanity,5.0,0.45,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,catalyst,10.0,0.267,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,earnings_inflection,20.0,1.0,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,financial_strength_trend,10.0,0.633,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,governance,8.0,0.55,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,rs_and_stage,20.0,0.836,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,smart_money,12.0,0.642,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-22,SHILPAMED,RE-ENTRY WINDOW,valuation_sanity,5.0,0.95,True
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,catalyst,10.0,0.433,True
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,earnings_inflection,20.0,,False
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,financial_strength_trend,10.0,,False
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,governance,8.0,0.85,True
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,rs_and_stage,20.0,0.847,True
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,smart_money,12.0,0.217,True
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,theme_tailwind,15.0,0.3,True
2026-07-23,ATHERENERG,RE-ENTRY WINDOW,valuation_sanity,5.0,0.35,True
