name,lot,entry_date,entry_price,exit_date,exit_price,exit_reason,shares,initial_stop,risk_per_share,realized_pnl,r_multiple,realized_pnl_after_costs,r_multiple_after_costs
ZAGGLE,trading,2024-02-07,277.79998779296875,2024-02-12,252.0,stop_loss,263,252.0,25.79998779296875,-6785.396789550781,-1.0,-6994.402884735107,-1.0308023394455261
ZAGGLE,core,2024-02-07,277.79998779296875,2024-02-12,252.0,stop_loss,263,252.0,25.79998779296875,-6785.396789550781,-1.0,-6994.402884735107,-1.0308023394455261
GLAND,trading,2023-08-08,1611.050048828125,2024-02-15,1897.0999755859373,trend_break_50dma,34,1430.0999755859375,180.9500732421875,11555.275329589838,1.878,11376.359678344721,1.8491222914352075
GLAND,core,2023-08-08,1611.050048828125,2024-04-05,1754.550048828125,weekly_close_below_30wk_ma,35,1430.0999755859375,180.9500732421875,5022.5,0.793,4845.805994873047,0.7651370202443024
ABFRL,trading,2024-04-02,236.1499938964844,2024-04-15,229.4910651615688,stop_loss,371,229.4910651615688,6.658928734915605,-2470.4625606536897,-1.0,-2729.5918100194963,-1.1048909841795944
ABFRL,core,2024-04-02,236.1499938964844,2024-04-15,229.4910651615688,stop_loss,372,229.4910651615688,6.658928734915605,-2477.1214893886054,-1.0,-2736.949200342999,-1.1048909841795944
ATGL,trading,2023-11-29,732.5499877929688,2024-02-13,1007.7999877929688,trend_break_50dma,103,690.0,42.54998779296875,22777.873992919922,5.197,22508.989921691893,5.13593291255855
ATGL,core,2023-11-29,732.5499877929688,2024-05-10,867.0499877929688,weekly_close_below_30wk_ma,104,690.0,42.54998779296875,13988.0,3.161,13738.462403808593,3.104597836299504
KAYNES,trading,2024-05-17,3080.35009765625,2024-06-04,3080.35009765625,stop_loss,29,2816.39990234375,263.9501953125,0.0,0.0,-267.99045849609377,-0.03501058327321161
KAYNES,core,2024-05-17,3080.35009765625,2024-06-04,3080.35009765625,stop_loss,29,2816.39990234375,263.9501953125,0.0,0.0,-267.99045849609377,-0.03501058327321161
FORCEMOT,trading,2024-02-14,4422.64990234375,2024-05-28,8123.0498046875,trend_break_50dma,18,4250.10009765625,172.5498046875,50262.0712890625,16.183,49923.33739697265,16.073728679666132
FORCEMOT,core,2024-02-14,4422.64990234375,2024-09-06,7711.5,weekly_close_below_30wk_ma,18,4250.10009765625,172.5498046875,59199.3017578125,19.06,58871.67971044922,18.954810634101342
BLS,trading,2024-08-06,385.1000061035156,2024-09-19,391.7999877929688,trend_break_50dma,241,360.0,25.100006103515625,6042.648239135751,0.999,5761.798891342172,0.9525049164764461
BLS,core,2024-08-06,385.1000061035156,2024-09-24,385.1000061035156,stop_loss,241,360.0,25.100006103515625,0.0,0.0,-278.4273044128418,-0.04602787798321412
CEMPRO,trading,2024-09-20,562.4500122070312,2024-10-18,562.4500122070312,stop_loss,172,515.0999755859375,47.35003662109375,6629.005126953125,0.814,6338.780920654297,0.7783178235018909
CEMPRO,core,2024-09-20,562.4500122070312,2024-10-18,562.4500122070312,stop_loss,172,515.0999755859375,47.35003662109375,0.0,0.0,-290.2242062988281,-0.0356356648702021
FORCEMOT,trading,2024-10-30,7661.89990234375,2024-11-11,7099.89990234375,stop_loss,12,7099.89990234375,562.0,-6744.0,-1.0,-7009.712396484375,-1.0393998215427602
FORCEMOT,core,2024-10-30,7661.89990234375,2024-11-01,7915.2001953125,weekly_close_below_30wk_ma,13,7099.89990234375,562.0,3292.90380859375,0.451,2989.150356689453,0.4091363751285865
GILLETTE,trading,2024-10-29,9402.5,2024-11-12,9402.5,stop_loss,10,9012.0,390.5,2928.75,0.75,2646.675,0.6777656850192062
GILLETTE,core,2024-10-29,9402.5,2024-11-12,9402.5,stop_loss,10,9012.0,390.5,0.0,0.0,-282.075,-0.07223431498079386
CUB,trading,2024-10-22,126.38249969482422,2024-11-18,126.38249969482422,stop_loss,774,120.84750366210938,5.534996032714844,0.0,0.0,-293.46016429138183,-0.06850004893291779
CUB,core,2024-10-22,126.38249969482422,2024-11-18,126.38249969482422,stop_loss,774,120.84750366210938,5.534996032714844,0.0,0.0,-293.46016429138183,-0.06850004893291779
IFCI,trading,2024-11-25,64.55000305175781,2024-12-19,60.83428852898734,stop_loss,1526,60.83428852898734,3.715714522770476,-5670.180361747746,-1.0,-5957.185005176072,-1.050616492795277
IFCI,core,2024-11-25,64.55000305175781,2024-11-29,63.869998931884766,weekly_close_below_30wk_ma,1527,60.83428852898734,3.715714522770476,-1038.3662910461426,-0.183,-1332.5123055896759,-0.23484961438799273
TEJASNET,trading,2024-04-23,1088.25,2024-07-23,1271.4000244140625,trend_break_50dma,74,984.4000244140624,103.84997558593761,15388.49975585938,2.002,15126.578603149419,1.968351202911248
TEJASNET,core,2024-04-23,1088.25,2024-12-20,1217.550048828125,weekly_close_below_30wk_ma,75,984.4000244140624,103.84997558593761,9697.503662109375,1.245,9438.10115661621,1.21176098544912
TTML,trading,2025-01-20,82.7300033569336,2025-01-22,75.6500015258789,stop_loss,574,75.6500015258789,7.0800018310546875,-4063.9210510253906,-1.0,-4200.286235229492,-1.033555077102124
TTML,core,2025-01-20,82.7300033569336,2025-01-22,75.6500015258789,stop_loss,574,75.6500015258789,7.0800018310546875,-4063.9210510253906,-1.0,-4200.286235229492,-1.033555077102124
BANCOINDIA,trading,2024-11-14,419.5,2025-01-06,460.0499877929688,trend_break_50dma,125,387.5,32.0,6686.19897460938,1.672,6521.283351898198,1.6303208379745495
BANCOINDIA,core,2024-11-14,419.5,2025-01-27,419.5,stop_loss,125,387.5,32.0,0.0,0.0,-157.3125,-0.039328125
POWERINDIA,trading,2025-01-30,12277.5,2025-02-03,11200.0,stop_loss,3,11200.0,1077.5,-3232.5,-1.0,-3338.14875,-1.0326832946635731
POWERINDIA,core,2025-01-30,12277.5,2025-02-01,12206.2998046875,weekly_close_below_30wk_ma,4,11200.0,1077.5,-284.80078125,-0.066,-431.703580078125,-0.10016324363761601
LTFOODS,trading,2024-03-20,179.75,2024-05-30,201.5500030517578,trend_break_50dma,468,170.25,9.5,10502.700958251953,2.362,10235.028356109618,2.302075653645888
LTFOODS,core,2024-03-20,179.75,2025-02-21,376.25,weekly_close_below_30wk_ma,469,170.25,9.5,92158.5,20.684,91767.354,20.59642105263158
SANDUMA,trading,2025-02-17,138.1999969482422,2025-03-03,124.08333587646484,stop_loss,281,124.08333587646484,14.116661071777344,-3966.7817611694336,-1.0,-4077.334185955048,-1.0278695505429123
SANDUMA,core,2025-02-17,138.1999969482422,2025-02-21,142.5,weekly_close_below_30wk_ma,282,124.08333587646484,14.116661071777344,1212.6008605957031,0.305,1093.8647618865966,0.27477836555064883
OLAELEC,trading,2025-03-19,53.84999847412109,2025-03-20,51.563569886343814,stop_loss,1748,51.563569886343814,2.286428587777273,-3996.6771714346733,-1.0,-4273.071547675812,-1.069156042478638
OLAELEC,core,2025-03-19,53.84999847412109,2025-03-20,51.563569886343814,stop_loss,1749,51.563569886343814,2.286428587777273,-3998.9636000224505,-1.0,-4275.51609661613,-1.069156042478638
GABRIEL,trading,2025-03-19,583.3499755859375,2025-04-04,560.0,stop_loss,164,560.0,23.3499755859375,-3829.39599609375,-1.0,-4110.66009008789,-1.073448683364439
GABRIEL,core,2025-03-19,583.3499755859375,2025-04-04,560.0,stop_loss,164,560.0,23.3499755859375,-3829.39599609375,-1.0,-4110.66009008789,-1.073448683364439
