name,lot,entry_date,entry_price,exit_date,exit_price,exit_reason,shares,initial_stop,risk_per_share,realized_pnl,r_multiple,realized_pnl_after_costs,r_multiple_after_costs
ENGINERSIN,trading,2023-08-23,164.10000610351562,2023-09-12,149.28750937325614,stop_loss,441,149.28750937325614,14.812496730259483,-6532.311058044432,-1.0,-6739.616899532316,-1.031735451610589
ENGINERSIN,core,2023-08-23,164.10000610351562,2023-09-12,149.28750937325614,stop_loss,441,149.28750937325614,14.812496730259483,-6532.311058044432,-1.0,-6739.616899532316,-1.031735451610589
DATAMATICS,trading,2023-09-06,605.9500122070312,2023-09-12,554.7982243129185,stop_loss,3,554.7982243129185,51.15178789411277,-153.45536368233832,-1.0,-158.6787307466781,-1.0340383479534314
DATAMATICS,core,2023-09-06,605.9500122070312,2023-09-12,554.7982243129185,stop_loss,3,554.7982243129185,51.15178789411277,-153.45536368233832,-1.0,-158.6787307466781,-1.0340383479534314
ZENTEC,trading,2023-08-08,742.2999877929688,2023-09-13,742.2999877929688,stop_loss,80,664.4964032854352,77.80358450753351,0.0,0.0,-178.1519970703125,-0.028622074130315697
ZENTEC,core,2023-08-08,742.2999877929688,2023-09-13,742.2999877929688,stop_loss,81,664.4964032854352,77.80358450753351,0.0,0.0,-180.3788970336914,-0.028622074130315697
DATAPATTNS,trading,2023-08-09,2112.300048828125,2023-09-13,2112.300048828125,stop_loss,36,1975.067905970982,137.2321428571429,3773.8839285714307,0.764,3545.755523297993,0.7177123881467778
DATAPATTNS,core,2023-08-09,2112.300048828125,2023-09-13,2112.300048828125,stop_loss,36,1975.067905970982,137.2321428571429,0.0,0.0,-228.1284052734375,-0.04617650074211124
SPLPETRO,trading,2023-09-14,487.8999938964844,2023-09-18,440.2839126586914,stop_loss,135,440.2839126586914,47.61608123779297,-6428.170967102051,-1.0,-6616.128208179474,-1.02923961450922
SPLPETRO,core,2023-09-14,487.8999938964844,2023-09-18,440.2839126586914,stop_loss,136,440.2839126586914,47.61608123779297,-6475.787048339844,-1.0,-6665.136565277099,-1.0292396145092197
CIEINDIA,trading,2023-08-23,513.4500122070312,2023-09-22,473.1821496146066,stop_loss,152,473.1821496146066,40.26786259242465,-6120.715114048547,-1.0,-6345.66724694388,-1.036752589967635
CIEINDIA,core,2023-08-23,513.4500122070312,2023-09-22,473.1821496146066,stop_loss,153,473.1821496146066,40.26786259242465,-6160.982976640971,-1.0,-6387.415057779037,-1.036752589967635
OFSS,trading,2023-09-05,4204.25,2023-10-04,4009.633867536272,stop_loss,3,4009.633867536272,194.6161324637278,-583.8483973911834,-1.0,-620.8108747950967,-1.0633083477989715
OFSS,core,2023-09-05,4204.25,2023-10-04,4009.633867536272,stop_loss,3,4009.633867536272,194.6161324637278,-583.8483973911834,-1.0,-620.8108747950967,-1.0633083477989715
KPIGREEN,trading,2023-10-09,201.1999969482422,2023-10-20,183.5571392604283,stop_loss,75,183.5571392604283,17.642857687813887,-1323.2143265860416,-1.0,-1366.499504409517,-1.0327121441733127
KPIGREEN,core,2023-10-09,201.1999969482422,2023-10-20,183.5571392604283,stop_loss,76,183.5571392604283,17.642857687813887,-1340.8571842738554,-1.0,-1384.719497801644,-1.0327121441733127
FORCEMOT,trading,2023-09-26,3925.35009765625,2023-10-23,3541.0197405133927,stop_loss,17,3541.0197405133927,384.33035714285734,-6533.616071428574,-1.0,-6724.0085023019,-1.0291404375145197
FORCEMOT,core,2023-09-26,3925.35009765625,2023-10-23,3541.0197405133927,stop_loss,17,3541.0197405133927,384.33035714285734,-6533.616071428574,-1.0,-6724.0085023019,-1.0291404375145197
HEG,trading,2023-10-04,358.25,2023-10-23,333.1446435110909,stop_loss,33,333.1446435110909,25.10535648890908,-828.4767641339997,-1.0,-862.7007989877987,-1.0413095892792759
HEG,core,2023-10-04,358.25,2023-10-23,333.1446435110909,stop_loss,34,333.1446435110909,25.10535648890908,-853.5821206229087,-1.0,-888.8432474419744,-1.0413095892792759
