name,lot,entry_date,entry_price,exit_date,exit_price,exit_reason,shares,initial_stop,risk_per_share,realized_pnl,r_multiple,realized_pnl_after_costs,r_multiple_after_costs
MCX,trading,2020-01-10,271.2099914550781,2020-01-30,249.56535829816545,stop_loss,64,249.56535829816545,21.644633156912676,-1385.2565220424112,-1.0,-1435.2509556187226,-1.0360903794934675
MCX,core,2020-01-10,271.2099914550781,2020-01-30,249.56535829816545,stop_loss,65,249.56535829816545,21.644633156912676,-1406.901155199324,-1.0,-1457.6767518002653,-1.0360903794934675
BALRAMCHIN,trading,2019-12-05,165.6999969482422,2020-01-31,165.6999969482422,stop_loss,452,153.72678756713867,11.973209381103516,0.0,0.0,-224.68919586181642,-0.04151768962040077
BALRAMCHIN,core,2019-12-05,165.6999969482422,2020-01-31,165.6999969482422,stop_loss,453,153.72678756713867,11.973209381103516,0.0,0.0,-225.18629585266115,-0.041517689620400776
NAM-INDIA,trading,2020-01-24,359.6000061035156,2020-02-03,334.86785779680525,stop_loss,45,334.86785779680525,24.73214830671037,-1112.9466738019667,-1.0,-1159.8232546152383,-1.0421193413096204
NAM-INDIA,core,2020-01-24,359.6000061035156,2020-02-03,334.86785779680525,stop_loss,46,334.86785779680525,24.73214830671037,-1137.6788221086772,-1.0,-1185.5971047177993,-1.0421193413096201
SCI,trading,2020-02-05,62.79999923706055,2020-02-17,56.451786449977334,stop_loss,407,56.451786449977334,6.348212787083213,-2583.7226043428677,-1.0,-2656.5258195048045,-1.028177643776296
SCI,core,2020-02-05,62.79999923706055,2020-02-17,56.451786449977334,stop_loss,408,56.451786449977334,6.348212787083213,-2590.070817129951,-1.0,-2663.052909970418,-1.0281776437762957
TECHNOE,trading,2020-01-20,307.1499938964844,2020-02-18,281.98928615025113,stop_loss,55,281.98928615025113,25.160707746233243,-1383.8389260428285,-1.0,-1432.4429166466841,-1.035122577988785
TECHNOE,core,2020-01-20,307.1499938964844,2020-02-18,281.98928615025113,stop_loss,56,281.98928615025113,25.160707746233243,-1408.9996337890616,-1.0,-1458.4873333129874,-1.035122577988785
RITES,trading,2019-12-26,145.625,2020-02-27,149.625,trend_break_50dma,269,137.94195992606026,7.683040073939736,2414.268816266743,1.168,2295.1354412667433,1.110511194791791
RITES,core,2019-12-26,145.625,2020-02-28,145.625,stop_loss,269,137.94195992606026,7.683040073939736,0.0,0.0,-117.519375,-0.05686225710078558
BERGEPAINT,trading,2020-02-05,490.5416564941406,2020-03-03,455.5416728428432,stop_loss,55,455.5416728428432,34.99998365129744,-1924.9991008213592,-1.0,-2003.0509754916604,-1.0405464473396366
BERGEPAINT,core,2020-02-05,490.5416564941406,2020-03-03,455.5416728428432,stop_loss,55,455.5416728428432,34.99998365129744,-1924.9991008213592,-1.0,-2003.0509754916604,-1.0405464473396366
BRIGADE,trading,2019-12-16,157.5749969482422,2020-03-02,163.0500030517578,trend_break_50dma,344,145.44106892177038,12.133928026471807,4692.561077390396,1.124,4527.118577390396,1.084581051901386
BRIGADE,core,2019-12-16,157.5749969482422,2020-03-09,157.5749969482422,stop_loss,344,145.44106892177038,12.133928026471807,0.0,0.0,-162.61739685058595,-0.03895894139254931
PHOENIXLTD,trading,2019-12-16,392.3999938964844,2020-02-28,428.2250061035156,trend_break_50dma,162,363.03391483851846,29.36607905796592,7795.931805746889,1.639,7596.519930746889,1.5968116902969274
PHOENIXLTD,core,2019-12-16,392.3999938964844,2020-03-12,392.3999938964844,stop_loss,162,363.03391483851846,29.36607905796592,0.0,0.0,-190.70639703369142,-0.04008706710098306
SRF,trading,2019-12-19,665.9000244140625,2020-03-09,745.3400268554688,trend_break_50dma,69,634.7357243129185,31.164300101144022,5447.716620309014,2.533,5301.653275002617,2.465499127553398
SRF,core,2019-12-19,665.9000244140625,2020-03-12,665.9000244140625,stop_loss,69,634.7357243129185,31.164300101144022,0.0,0.0,-137.84130505371095,-0.0641021959985828
JKCEMENT,trading,2020-01-02,1220.199951171875,2020-03-06,1326.449951171875,trend_break_50dma,19,1162.7178475516182,57.482103620256794,2243.481554303851,2.054,2170.9020320870545,1.9877143405121942
JKCEMENT,core,2020-01-02,1220.199951171875,2020-03-12,1220.199951171875,stop_loss,20,1162.7178475516182,57.482103620256794,0.0,0.0,-73.2119970703125,-0.06368242675491827
AMBER,trading,2019-12-27,1091.9000244140625,2020-03-04,1369.300048828125,trend_break_50dma,25,1019.2750222342355,72.62500217982699,6168.300458635602,3.397,6076.00545588902,3.346508928616183
AMBER,core,2019-12-27,1091.9000244140625,2020-03-13,1091.9000244140625,stop_loss,26,1019.2750222342355,72.62500217982699,0.0,0.0,-85.16820190429688,-0.04510430258069
JBCHEPHARM,trading,2020-01-06,217.9499969482422,2020-03-12,254.4750061035156,trend_break_50dma,94,208.32053211757116,9.629464830671026,3047.35910115923,3.367,2980.747175728932,3.2930258218028223
JBCHEPHARM,core,2020-01-06,217.9499969482422,2020-03-13,217.9499969482422,stop_loss,94,208.32053211757116,9.629464830671026,0.0,0.0,-61.461899139404295,-0.06790096878095803
JPPOWER,trading,2020-08-12,3.0,2020-08-19,2.714285731315613,stop_loss,11405,2.714285731315613,0.2857142686843872,-3258.571234345436,-1.0,-3356.3283774939177,-1.0300000018775464
JPPOWER,core,2020-08-12,3.0,2020-08-19,2.714285731315613,stop_loss,11406,2.714285731315613,0.2857142686843872,-3258.8569486141205,-1.0,-3356.6226631911995,-1.0300000018775466
ZFCVINDIA,trading,2020-06-24,1146.175048828125,2020-08-25,1146.175048828125,stop_loss,57,1133.1169913155693,13.058057512555706,0.0,0.0,-195.99593334960937,-0.2633259306124308
ZFCVINDIA,core,2020-06-24,1146.175048828125,2020-08-25,1146.175048828125,stop_loss,57,1133.1169913155693,13.058057512555706,0.0,0.0,-195.99593334960937,-0.2633259306124308
PFIZER,trading,2020-08-24,4823.89990234375,2020-08-31,4502.006940569197,stop_loss,8,4502.006940569197,321.89296177455344,-2575.1436941964275,-1.0,-2687.054576311383,-1.0434581116258357
PFIZER,core,2020-08-24,4823.89990234375,2020-08-31,4502.006940569197,stop_loss,8,4502.006940569197,321.89296177455344,-2575.1436941964275,-1.0,-2687.054576311383,-1.0434581116258357
ZFCVINDIA,trading,2020-09-07,1211.375,2020-09-14,1127.6800624302455,stop_loss,40,1127.6800624302455,83.69493756975453,-3347.797502790181,-1.0,-3488.140806535996,-1.0419210850204792
ZFCVINDIA,core,2020-09-07,1211.375,2020-09-14,1127.6800624302455,stop_loss,41,1127.6800624302455,83.69493756975453,-3431.4924403599357,-1.0,-3575.344326699396,-1.0419210850204792
NFL,trading,2020-09-16,38.0,2020-09-21,33.999999727521626,stop_loss,902,33.999999727521626,4.000000272478374,-3608.0002457754936,-1.0,-3705.4162454068305,-1.0269999980585918
NFL,core,2020-09-16,38.0,2020-09-21,33.999999727521626,stop_loss,902,33.999999727521626,4.000000272478374,-3608.0002457754936,-1.0,-3705.4162454068305,-1.0269999980585918
INDIACEM,trading,2020-09-16,127.0999984741211,2020-09-21,113.93035425458635,stop_loss,241,113.93035425458635,13.169644219534746,-3173.884256907874,-1.0,-3261.0167294193016,-1.027452945809787
INDIACEM,core,2020-09-16,127.0999984741211,2020-09-21,113.93035425458635,stop_loss,242,113.93035425458635,13.169644219534746,-3187.0539011274086,-1.0,-3274.547919167929,-1.027452945809787
