symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
BAJAJCON,Bajaj Consumer Care Limited,,nse_gap,6306.0,38.19
INNOVACAP,Innova Captab Limited,,nse_gap,6229.0,5.69
SENORES,Senores Pharmaceuticals Limited,,nse_gap,6183.0,25.56
STYLAMIND,Stylam Industries Limited,,nse_gap,6111.0,10.54
AEROFLEX,Aeroflex Industries Limited,,nse_gap,6093.0,50.44
ITDC,India Tourism Development Corporation Limited,,nse_gap,6019.0,7.32
EBGNG,GNG Electronics Limited,,nse_gap,5993.0,29.43
SIS,SIS LIMITED,,nse_gap,5990.0,8.01
KRISHANA,Krishana Phoschem Limited,,nse_gap,5894.0,10.87
KALPATARU,Kalpataru Limited,,nse_gap,5848.0,1.38
GULFOILLUB,Gulf Oil Lubricants India Limited,,nse_gap,5726.0,7.03
SBCL,Shivalik Bimetal Controls Limited,,nse_gap,5722.0,32.75
FDC,FDC Limited,,nse_gap,5676.0,5.35
GOLDIAM,Goldiam International Limited,,nse_gap,5614.0,21.78
ISGEC,Isgec Heavy Engineering Limited,,nse_gap,5552.0,3.72
MASFIN,MAS Financial Services Limited,,nse_gap,5489.0,4.12
CEIGALL,Ceigall India Limited,,nse_gap,5441.0,14.58
LUMAXIND,Lumax Industries Limited,,nse_gap,5282.0,12.18
VADILALIND,Vadilal Industries Limited,,nse_gap,5270.0,15.61
SHARDAMOTR,Sharda Motor Industries Limited,,nse_gap,5242.0,3.99
PDSL,PDS Limited,,nse_gap,5230.0,3.18
VRLLOG,VRL Logistics Limited,,nse_gap,5196.0,5.5
CARERATING,CARE Ratings Limited,,nse_gap,5155.0,8.36
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,nse_gap,5152.0,63.29
LGBBROSLTD,LG Balakrishnan & Bros Limited,,nse_gap,5131.0,3.87
ICRA,ICRA Limited,,nse_gap,5082.0,18.2
BANSALWIRE,Bansal Wire Industries Limited,,nse_gap,5046.0,2.1
GUJALKALI,Gujarat Alkalies and Chemicals Limited,,nse_gap,5025.0,5.59
CENTUM,Centum Electronics Limited,,nse_gap,5015.0,15.83
ARTEMISMED,Artemis Medicare Services Limited,,nse_gap,4928.0,7.89
SSWL,Steel Strips Wheels Limited,,nse_gap,4921.0,16.14
KDDL,KDDL Limited,,nse_gap,4911.0,11.58
SOTL,Savita Oil Technologies Limited,,nse_gap,4812.0,17.28
ROLEXRINGS,Rolex Rings Limited,,nse_gap,4810.0,36.24
RUSTOMJEE,Keystone Realtors Limited,,nse_gap,4778.0,1.18
JUNIPER,Juniper Hotels Limited,,nse_gap,4674.0,4.46
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,,nse_gap,4673.0,11.11
EPIGRAL,Epigral Limited,,nse_gap,4629.0,5.51
