symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,as_of,built_at
PROSTARM,Prostarm Info Systems Limited,EQ,mcap,128.4,807.0,1.998,0.877,2558.0,150898.0,20.0,0,0.0,25,25,2025-06-03,475.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SALZERELEC,Salzer Electronics Limited,EQ,mcap,546.65,969.0,1.98,1.2,2072.0,35869.0,20.0,0,0.0,25,25,2015-12-02,3946.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
AVTNPL,AVT Natural Products Limited,EQ,price,90.04,1305.0,1.972,0.465,2871.0,216414.0,20.0,0,0.0,25,25,2007-01-10,7194.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
COFFEEDAY,Coffee Day Enterprises Limited,EQ,price+mcap,30.15,669.0,1.951,1.058,2285.5,609780.0,10.0,1,0.1,10,10,2015-11-02,3976.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
RITCO,Ritco Logistics Limited,EQ,mcap,283.6,834.0,1.947,0.912,1954.0,62775.0,20.0,0,0.0,25,25,2022-04-12,1623.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ZUARI,Zuari Agro Chemicals Limited,EQ,mcap,222.84,940.0,1.944,0.843,2414.0,86401.0,20.0,0,0.0,25,25,2012-11-27,5046.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
BCLIND,Bcl Industries Limited,EQ,price+mcap,33.32,974.0,1.938,0.895,3181.0,532349.0,20.0,0,0.0,25,25,2021-03-04,2027.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
VISAKAIND,Visaka Industries Limited,EQ,price+mcap,95.42,756.0,1.91,0.915,2892.0,201785.0,20.0,0,0.0,25,25,1996-08-28,10981.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MASTERTR,Master Trust Limited,EQ,price,87.68,1054.0,1.872,1.097,1428.0,231560.0,20.0,0,0.0,25,25,2024-11-12,678.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
NILASPACES,Nila Spaces Limited,EQ,price+mcap,12.12,484.0,1.829,0.475,2694.0,1502397.0,20.0,0,0.0,25,25,2018-12-28,2824.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
AGARIND,Agarwal Industrial Corporation Limited,EQ,mcap,408.55,651.0,1.799,0.617,2118.0,37587.0,20.0,0,0.0,25,25,2014-05-26,4501.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ZEEMEDIA,Zee Media Corporation Limited,EQ,price+mcap,7.31,482.0,1.798,0.564,2221.0,2297783.0,10.0,0,0.0,25,25,2007-01-10,7194.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GREENPOWER,Orient Green Power Company Limited,EQ,price,9.04,1058.0,1.793,0.972,3756.0,1967532.0,20.0,0,0.0,25,25,2010-10-08,5827.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PATELRMART,Patel Retail Limited,EQ,mcap,203.41,705.0,1.754,0.392,1697.0,74789.0,20.0,0,0.0,25,25,2025-08-26,391.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GLOBAL,Global Education Limited,EQ,mcap,130.6,646.0,1.735,0.28,1439.0,143869.0,20.0,0,0.0,25,25,2020-12-07,2114.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ROTO,Roto Pumps Limited,EQ,price,62.75,1173.0,1.649,0.885,2640.0,258884.0,20.0,0,0.0,25,25,2022-04-21,1614.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
UGROCAP,Ugro Capital Limited,EQ,price,82.29,1304.0,1.59,0.6,1992.0,189556.0,20.0,0,0.0,25,25,2021-08-11,1867.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ORIENTBELL,Orient Bell Limited,EQ,mcap,392.55,591.0,1.56,0.239,1563.0,37419.0,20.0,0,0.0,25,25,2007-02-14,7159.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
IITL,Industrial Investment Trust Limited,EQ,mcap,143.02,308.0,1.539,1.355,1039.0,103135.0,20.0,0,0.0,25,25,2010-08-17,5879.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ELIN,Elin Electronics Limited,EQ,price+mcap,89.38,461.0,1.509,0.545,2155.0,159232.0,20.0,0,0.0,25,25,2022-12-30,1361.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DHANBANK,Dhanlaxmi Bank Limited,EQ,price,29.44,1170.0,1.509,0.682,1965.0,468948.0,20.0,0,0.0,25,25,2004-04-01,8208.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,mcap,354.1,313.0,1.508,0.333,2245.0,39314.0,20.0,0,0.0,25,25,2002-04-16,8924.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
AMBIKCO,Ambika Cotton Mills Limited,EQ,mcap,1619.4,925.0,1.499,0.657,1163.0,9146.0,20.0,0,0.0,25,25,2008-01-29,6810.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MWL,Mangalam Worldwide Limited,EQ,price,42.56,1263.0,1.489,0.302,1644.0,370691.0,20.0,0,0.0,25,25,2025-09-18,368.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
RADIANTCMS,Radiant Cash Management Services Limited,EQ,price+mcap,35.24,384.0,1.448,0.284,2580.0,365694.0,20.0,0,0.0,25,25,2023-01-04,1356.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SUYOG,Suyog Telematics Limited,EQ,mcap,648.2,791.0,1.431,0.377,1376.0,19414.0,20.0,0,0.0,25,25,2024-08-20,762.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,mcap,272.6,813.0,1.417,0.572,1797.0,52743.0,20.0,0,0.0,25,25,1995-04-12,11485.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MTNL,Mahanagar Telephone Nigam Limited,EQ,price,23.65,1496.0,1.379,0.849,2608.0,518060.0,20.0,0,0.0,25,25,1999-02-17,10078.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,mcap,285.4,729.0,1.379,0.687,1721.0,46455.0,20.0,0,0.0,25,25,2021-12-01,1755.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GEMAROMA,Gem Aromatics Limited,EQ,mcap,150.58,840.0,1.358,0.665,1560.0,82131.0,20.0,0,0.0,25,25,2025-08-26,391.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
KECL,Kirloskar Electric Company Limited,EQ,mcap,118.43,796.0,1.351,0.696,2262.0,107901.0,10.0,0,0.0,25,25,2010-03-09,6040.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DECCANCE,Deccan Cements Limited,EQ,mcap,567.2,804.0,1.339,0.152,640.0,23294.0,20.0,0,0.0,25,25,2007-08-02,6990.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
BALAJITELE,Balaji Telefilms Limited,EQ,price,93.55,1121.0,1.311,0.445,1648.0,141831.0,20.0,0,0.0,25,25,2000-11-22,9434.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
AUTOIND,Autoline Industries Limited,EQ,price+mcap,83.76,384.0,1.306,0.628,1849.0,152442.5,20.0,0,0.0,20,20,2007-01-31,7173.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ARIHANTCAP,Arihant Capital Markets Limited,EQ,price+mcap,81.61,883.0,1.29,0.498,1413.0,163522.0,20.0,0,0.0,25,25,2021-06-15,1924.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
DJML,DJ Mediaprint & Logistics Limited,EQ,price+mcap,76.15,273.0,1.275,0.149,2104.0,156457.0,10.0,2,0.08,25,25,2022-12-05,1386.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
HATHWAY,Hathway Cable & Datacom Limited,EQ,price,9.97,1768.0,1.266,0.867,1942.0,1263943.0,20.0,0,0.0,25,25,2010-02-25,6052.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
CONTROLPR,Control Print Limited,EQ,mcap,598.95,922.0,1.246,0.454,1450.0,20772.0,20.0,0,0.0,25,25,2016-06-24,3741.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
HARDWYN,Hardwyn India Limited,EQ,price+mcap,9.15,618.0,1.244,0.285,1141.0,1367993.0,20.0,0,0.0,25,25,2022-04-12,1623.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PFS,PTC India Financial Services Limited,EQ,price,26.73,1674.0,1.235,0.416,2118.0,438006.0,20.0,0,0.0,25,25,2011-03-30,5654.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
