symbol,company,series,arm,last_close,market_cap_cr,median_turnover_cr,min_turnover_cr,median_trades,median_volume,band_pct,circuit_days,circuit_frac,sessions_seen,sessions_traded,listing_date,listing_age_days,in_index_universe,mcap_pending,last_date,as_of,built_at
ASAL,Automotive Stampings and Assemblies Limited,EQ,mcap,450.4,741.0,0.655,0.265,812.0,13831.0,20.0,0,0.0,25,25,2002-03-12,8959.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,price+mcap,67.08,976.0,0.653,0.22,1275.0,89317.0,20.0,0,0.0,25,25,2020-01-28,2428.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MUFTI,Credo Brands Marketing Limited,EQ,price+mcap,72.73,479.0,0.646,0.261,1032.0,86212.0,20.0,0,0.0,25,25,2023-12-27,999.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
WCIL,Western Carriers (India) Limited,EQ,price+mcap,95.59,922.0,0.63,0.218,1239.0,73305.0,20.0,0,0.0,25,25,2024-09-24,727.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
IGCL,Indogulf Cropsciences Limited,EQ,price+mcap,65.55,424.0,0.628,0.233,1165.0,86717.0,20.0,0,0.0,25,25,2025-07-03,445.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
UNITEDPOLY,United Polyfab Gujarat Limited,EQ,price+mcap,46.05,980.0,0.619,0.092,626.0,143999.0,20.0,0,0.0,20,20,2021-12-31,1725.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ESTER,Ester Industries Limited,EQ,price+mcap,87.17,914.0,0.618,0.214,1196.0,62123.0,20.0,0,0.0,25,25,2011-06-20,5572.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
BORANA,Borana Weaves Limited,EQ,mcap,296.85,835.0,0.616,0.253,560.0,19946.0,20.0,0,0.0,25,25,2025-05-27,482.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PRIMESECU,Prime Securities Limited,EQ,mcap,298.7,965.0,0.598,0.087,423.0,21379.0,20.0,0,0.0,25,25,2005-06-17,7766.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
HERANBA,Heranba Industries Limited,EQ,mcap,167.08,687.0,0.59,0.239,1230.0,34394.0,20.0,0,0.0,25,25,2021-03-05,2026.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
GFLLIMITED,GFL Limited,EQ,price+mcap,57.0,637.0,0.564,0.135,1789.0,100392.0,20.0,0,0.0,25,25,1995-05-25,11442.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
VAKRANGEE,Vakrangee Limited,EQ,price+mcap,5.16,593.0,0.558,0.351,1779.0,968719.0,20.0,0,0.0,25,25,2006-04-03,7476.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SGIL,Synergy Green Industries Limited,EQ,mcap,598.1,920.0,0.549,0.148,324.0,9769.0,20.0,0,0.0,25,25,2021-07-28,1881.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SAKHTISUG,Sakthi Sugars Limited,EQ,price+mcap,18.21,218.0,0.544,0.118,1047.0,312531.0,20.0,0,0.0,25,25,1995-09-06,11338.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,price,56.4,2136.0,0.537,0.202,1823.0,89243.0,20.0,0,0.0,25,25,2025-07-31,417.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
PATINTLOG,Patel Integrated Logistics Limited,EQ,price+mcap,14.64,99.2,0.535,0.535,1185.0,355563.0,20.0,0,0.0,1,1,2008-01-11,6828.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ATL,Allcargo Terminals Limited,EQ,price+mcap,24.29,708.0,0.534,0.229,1596.0,220494.0,20.0,0,0.0,25,25,2023-08-10,1138.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
IRIS,IRIS RegTech Solutions Limited,EQ,mcap,245.37,505.0,0.531,0.124,882.0,21579.0,20.0,0,0.0,25,25,2021-11-08,1778.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
MAANALU,Maan Aluminium Limited,EQ,mcap,105.12,662.0,0.53,0.182,813.0,44463.0,20.0,0,0.0,25,25,2007-10-22,6909.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
NDTV,New Delhi Television Limited,EQ,price+mcap,71.57,789.0,0.53,0.28,932.0,70067.0,20.0,0,0.0,25,25,2004-05-19,8160.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
URJA,Urja Global Limited,EQ,price+mcap,9.06,445.0,0.517,0.348,1966.0,565619.0,20.0,0,0.0,25,25,2017-03-28,3464.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
JITFINFRA,JITF Infralogistics Limited,EQ,mcap,282.25,746.0,0.515,0.211,583.0,16214.0,10.0,0,0.0,25,25,2017-02-27,3493.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SAHYADRI,Sahyadri Industries Limited,EQ,mcap,370.95,428.0,0.508,0.122,923.0,13400.0,20.0,0,0.0,25,25,2023-04-06,1264.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
SIGMA,Sigma Solve Limited,EQ,price+mcap,46.76,483.0,0.505,0.206,1386.0,111147.0,10.0,0,0.0,25,25,2023-06-09,1200.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
BTML,Bodhi Tree Multimedia Limited,EQ,price+mcap,7.13,132.0,0.504,0.081,490.0,595859.0,20.0,0,0.0,25,25,2023-02-15,1314.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,mcap,109.6,643.0,0.502,0.329,1053.0,46834.0,20.0,0,0.0,15,15,2024-09-04,747.0,False,False,2026-09-21,2026-09-21,2026-09-22 09:42
