symbol,company,series,last_close,market_cap_cr,median_turnover_cr,median_trades,band_pct,gsm_stage,asm,exclude_reason,mcap_pending
MIDSMALL,,,52.75,,1.439,851.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
THEJO,Thejo Engineering Limited,EQ,2060.6,2164.0,1.436,971.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ASHIANA,Ashiana Housing Limited,EQ,368.8,3691.0,1.413,1697.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ONIDA,Onida Electronics Limited,EQ,36.19,,1.406,1822.5,5.0,,,5% circuit band — cannot exit on bad news,False
BANKNIFTY1,,,60.0,,1.4,775.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
ALPINETEX,Alpine Texworld Limited,EQ,55.16,,1.391,3255.0,20.0,,,"listed 38d ago — under a year of history, no trend to read",False
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,EQ,112.33,2502.0,1.373,2055.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ADVENTHTL,Advent Hotels International Limited,EQ,142.8,,1.36,1694.0,20.0,,,"listed 288d ago — under a year of history, no trend to read",False
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,451.4,1412.0,1.348,1548.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PRAVEG,Praveg Limited,EQ,276.65,,1.344,1964.0,20.0,,,"listed 130d ago — under a year of history, no trend to read",False
IT,,,34.63,,1.339,1044.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,614.95,1222.0,1.338,1393.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
TIGERLOGS,Tiger Logistics (India) Limited,EQ,29.45,,1.338,1102.5,20.0,,,"listed 344d ago — under a year of history, no trend to read",False
OMPOWER,Om Power Transmission Limited,EQ,175.31,,1.325,1335.0,20.0,,,"listed 133d ago — under a year of history, no trend to read",False
HEIDELBERG,HeidelbergCement India Limited,EQ,160.99,3655.0,1.322,1350.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
VEEDOL,Veedol Corporation Limited,EQ,1496.1,2561.0,1.32,1442.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SANGAMIND,Sangam (India) Limited,EQ,603.15,2859.0,1.319,1512.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
HESTERBIO,Hester Biosciences Limited,EQ,2302.3,2012.0,1.309,935.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,89.01,,1.305,564.5,5.0,,,5% circuit band — cannot exit on bad news; closed at circuit on 30% of sessions — a stop cannot fill in a locked market,False
EXCELINDUS,Excel Industries Limited,EQ,1030.85,1357.0,1.292,1006.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
PRECAM,Precision Camshafts Limited,EQ,126.33,1241.0,1.286,2033.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
ALLTIME,All Time Plastics Limited,EQ,203.79,1302.0,1.278,1765.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SUNDROP,Sundrop Brands Limited,EQ,652.7,2438.0,1.276,624.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
BHARATRAS,Bharat Rasayan Limited,EQ,1255.2,2116.0,1.267,1371.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SML100CASE,,,11.42,,1.266,1335.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,355.7,1766.0,1.265,1403.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SIMPLEXINF,Simplex Infrastructures Limited,EQ,277.59,1999.0,1.262,1141.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
INSECTICID,Insecticides (India) Limited,EQ,598.5,1678.0,1.261,1494.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
RUPA,Rupa & Company Limited,EQ,149.49,1208.0,1.259,2793.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
VPRPL,Vishnu Prakash R Punglia Limited,EQ,32.16,,1.255,2518.0,20.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging",False
CHEMICAL,,,30.39,,1.249,1074.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
RMC,RMC Switchgears Limited,EQ,246.45,,1.243,1854.0,20.0,,,"listed 149d ago — under a year of history, no trend to read",False
NEXT50BETA,,,79.81,,1.215,649.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
MWL,Mangalam Worldwide Limited,EQ,39.53,,1.21,1040.0,20.0,,,"listed 344d ago — under a year of history, no trend to read",False
GILT5YBEES,,,66.22,,1.209,410.0,5.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company); 5% circuit band — cannot exit on bad news,False
BFINVEST,BF Investment Limited,EQ,442.8,1683.0,1.207,1309.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
MID150CASE,,,11.87,,1.203,3217.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
TCC,TCC Concept Limited,EQ,223.25,,1.202,1380.0,20.0,,,"listed 184d ago — under a year of history, no trend to read",False
GROWWEV,,,33.38,,1.202,1892.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
INDOTHAI,Indo Thai Securities Limited,EQ,46.18,,1.199,968.0,5.0,,LT Stage I,"ASM LT Stage I — surveillance: 100% margin, no intraday, no pledging; 5% circuit band — cannot exit on bad news; closed at circuit on 80% of sessions — a stop cannot fill in a locked market",False
MOSILVER,,,237.69,,1.199,1402.0,20.0,,,not in the NSE equity master (ETF / REIT / InvIT — not a company),False
PANORAMA,Panorama Studios International Limited,EQ,46.47,,1.195,838.5,20.0,,,"listed 11d ago — under a year of history, no trend to read",False
INDIANHUME,Indian Hume Pipe Company Limited,EQ,386.55,2065.0,1.188,1651.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
RAMKY,Ramky Infrastructure Limited,EQ,358.5,2619.0,1.186,1258.0,20.0,,,not penny/nano — price >= Rs100 and mcap >= Rs1000 Cr,False
SICALLOG,Sical Logistics Limited,BE,112.53,,1.186,634.0,5.0,,,series BE (trade-to-trade / SME — not normal rolling settlement); 5% circuit band — cannot exit on bad news; closed at circuit on 60% of sessions — a stop cannot fill in a locked market,False
