[149/651] ok    KIMS (1243 rows)
[150/651] ok    LTFOODS (1856 rows)
[151/651] ok    LATENTVIEW (1143 rows)
[152/651] ok    THELEELA (272 rows)
[153/651] ok    LEMONTREE (1856 rows)
[154/651] ok    MMTC (1856 rows)
[155/651] ok    MGL (1855 rows)
[156/651] ok    MANAPPURAM (1856 rows)
[157/651] ok    MRPL (1856 rows)
[158/651] ok    MEESHO (141 rows)
[159/651] ok    MINDACORP (1855 rows)
[160/651] ok    MSUMI (1057 rows)
[161/651] ok    NATCOPHARM (1856 rows)
[162/651] ok    NBCC (1856 rows)
[163/651] ok    NCC (1856 rows)
[164/651] ok    NSLNISP (832 rows)
[165/651] ok    NH (1856 rows)
[166/651] ok    NAVA (1856 rows)
[167/651] ok    NAVINFLUOR (1855 rows)
[168/651] ok    NETWEB (726 rows)
[169/651] ok    NEULANDLAB (1856 rows)
[170/651] ok    NEWGEN (1856 rows)
[171/651] ok    NIVABUPA (405 rows)
[172/651] ok    NUVAMA (685 rows)
[173/651] ok    NUVOCO (1205 rows)
[174/651] ok    OLAELEC (473 rows)
[175/651] ok    OLECTRA (1856 rows)
[176/651] ok    ONESOURCE (358 rows)
[177/651] ok    PCBL (1856 rows)
[178/651] ok    PGEL (1856 rows)
[179/651] ok    PNBHOUSING (1856 rows)
[180/651] ok    PTCIL (758 rows)
[181/651] ok    PVRINOX (1855 rows)
[182/651] ok    PARADEEP (1016 rows)
[183/651] ok    PFIZER (1855 rows)
[184/651] ok    PWL (157 rows)
[185/651] ok    PINELABS (159 rows)
[186/651] ok    PIRAMALFIN (164 rows)
[187/651] ok    PPLPHARMA (917 rows)
[188/651] ok    POLYMED (1856 rows)
[189/651] ok    POONAWALLA (1856 rows)
[190/651] ok    RRKABEL (687 rows)
[191/651] ok    RBLBANK (1856 rows)
[192/651] ok    RHIM (1855 rows)
[193/651] ok    RITES (1856 rows)
[194/651] ok    RAILTEL (1323 rows)
[195/651] ok    RAINBOW (1028 rows)
[196/651] ok    RKFORGE (1856 rows)
[197/651] ok    REDINGTON (1856 rows)
[198/651] ok    RPOWER (1856 rows)
[199/651] ok    SBFC (712 rows)
[200/651] ok    SAGILITY (408 rows)
[201/651] ok    SAILIFE (384 rows)
[202/651] ok    SAMMAANCAP (1856 rows)
[203/651] ok    SAPPHIRE (1145 rows)
[204/651] ok    SARDAEN (1856 rows)
[205/651] ok    SAREGAMA (1855 rows)
[206/651] ok    SCHNEIDER (1856 rows)
[207/651] ok    SCI (1856 rows)
[208/651] ok    SHYAMMETL (1245 rows)
[209/651] ok    SIGNATURE (682 rows)
[210/651] ok    SOBHA (1855 rows)
[211/651] ok    SONACOMS (1245 rows)
[212/651] ok    SONATSOFTW (1856 rows)
[213/651] ok    STARHEALTH (1130 rows)
[214/651] ok    SUMICHEM (1595 rows)
[215/651] ok    SUNTV (1856 rows)
[216/651] ok    SPLPETRO (1856 rows)
[217/651] ok    SWANCORP (1856 rows)
[218/651] ok    SYNGENE (1856 rows)
[220/651] ok    TBOTEK (532 rows)
[221/651] ok    TATACHEM (1856 rows)
[222/651] ok    TATATECH (642 rows)
[223/651] ok    TTML (1856 rows)
[224/651] ok    TECHNOE (1856 rows)
[225/651] ok    TEGA (1128 rows)
[226/651] ok    TEJASNET (1856 rows)
[227/651] ok    TENNIND (156 rows)
[228/651] ok    RAMCOCEM (1855 rows)
[229/651] ok    TIMKEN (1855 rows)
[230/651] ok    TITAGARH (1856 rows)
[231/651] ok    TARIL (1856 rows)
[232/651] ok    TRAVELFOOD (243 rows)
[233/651] ok    TRIDENT (1856 rows)
[234/651] ok    TRITURBINE (1856 rows)
[235/651] ok    UCOBANK (1856 rows)
[236/651] ok    UTIAMC (1418 rows)
[237/651] ok    URBANCO (198 rows)
[238/651] ok    USHAMART (1856 rows)
[239/651] ok    VTL (1856 rows)
[240/651] ok    VIJAYA (1189 rows)
[241/651] ok    WELCORP (1856 rows)
[242/651] ok    WELSPUNLIV (1856 rows)
[243/651] ok    WHIRLPOOL (1856 rows)
[244/651] ok    WOCKPHARMA (1856 rows)
