symbol,company,score,coverage_pct,vetoed,assessed,veto_reasons,archetypes,arm,close,tag,rs_pctile,tt_checks,pct_below_52w_high,run_3m_pct,vol_expansion,ep,market_cap_cr,median_turnover_cr,median_trades,band_pct,circuit_frac,in_index_universe,atr,stop_suggested,stop_basis,risk_flags,tier,rank
DWARKESH,Dwarikesh Sugar Industries Limited,64.4,100.0,False,True,,Momentum,price+mcap,47.310001373291016,CONFIRMED,82.9,8,21.0,4.1,2.69,False,876.0,17.211,12949.0,20.0,0.0,False,4.07,,2.5xATR stop would be 22% wide — untradeably volatile,,0,24
ALBERTDAVD,Albert David Limited,64.1,100.0,False,True,,,mcap,860.25,WATCH,78.9,7,7.7,23.6,1.42,False,515.0,0.769,805.0,20.0,0.0,False,30.23,784.67,2.5xATR (9% wide),,0,25
SOUTHWEST,South West Pinnacle Exploration Limited,63.6,100.0,False,True,,Hyper-growth,mcap,212.9199981689453,BROKEN,85.4,4,22.6,-18.2,0.64,False,712.0,2.629,2921.0,20.0,0.0,False,10.01,187.89,2.5xATR (12% wide),promoter sold 2.9 pts in 4 quarters,0,26
ESTER,Ester Industries Limited,63.6,100.0,False,True,,Turnaround (margin-confirmed),price+mcap,93.56999969482422,WATCH,34.7,3,29.4,5.8,2.32,False,974.0,0.729,1404.0,20.0,0.0,False,3.05,85.94,2.5xATR (8% wide),,0,27
HMAAGRO,HMA Agro Industries Limited,63.4,100.0,False,True,,Hyper-growth,price,20.84000015258789,BROKEN,12.1,0,39.1,-11.7,3.02,False,1054.0,3.041,3813.0,20.0,0.0,False,0.87,18.67,2.5xATR (10% wide),promoter sold 6.6 pts in 4 quarters,0,28
INDORAMA,Indo Rama Synthetics (India) Limited,63.1,100.0,False,True,,,price,72.95999908447266,EXTENDED,98.0,6,2.7,55.4,1.85,False,1731.0,2.424,3231.0,20.0,0.0,False,4.4,61.96,2.5xATR (15% wide),,0,29
DCI,Dc Infotech And Communication Limited,63.1,100.0,False,True,,Hyper-growth,mcap,350.54998779296875,WATCH,92.0,7,26.2,30.1,3.51,False,621.0,1.632,1555.0,20.0,0.0,False,27.15,282.67,2.5xATR (19% wide),promoter sold 1.5 pts in 4 quarters,0,30
AUTOIND,Autoline Industries Limited,63.1,100.0,False,True,,Hyper-growth,price+mcap,86.44999694824219,WATCH,80.4,7,16.9,13.1,1.2,False,401.0,1.502,1515.0,20.0,0.0,False,5.43,72.87,2.5xATR (16% wide),,0,31
TPLPLASTEH,TPL Plastech Limited,63.1,100.0,False,True,,Hyper-growth + Deleveraging,price+mcap,71.73999786376953,WATCH,63.8,7,20.6,8.9,0.93,False,552.0,0.99,1301.0,20.0,0.0,False,3.65,62.61,2.5xATR (13% wide),,0,32
SIGMA,Sigma Solve Limited,63.1,100.0,False,True,,Deleveraging,price+mcap,46.65999984741211,WATCH,74.9,4,28.8,18.0,0.72,False,493.0,0.863,1810.0,10.0,0.0,False,2.65,40.03,2.5xATR (14% wide),,0,33
MAGADSUGAR,Magadh Sugar & Energy Limited,62.2,100.0,False,True,,Momentum,mcap,552.0499877929688,CONFIRMED,72.9,8,13.1,22.1,2.16,False,827.0,4.073,3936.0,20.0,0.0,False,32.77,470.12,2.5xATR (15% wide),,0,34
KALAMANDIR,Sai Silks (Kalamandir) Limited,61.9,100.0,False,True,,Hyper-growth,price,86.48999786376953,BROKEN,2.5,0,61.2,-20.5,0.39,False,1317.0,2.859,2811.0,20.0,0.0,False,1.97,81.56,2.5xATR (6% wide),,0,35
LOKESHMACH,Lokesh Machines Limited,61.3,100.0,False,True,,Momentum,mcap,364.6000061035156,CONFIRMED,99.0,8,5.5,37.5,1.95,False,756.0,3.257,1885.0,20.0,0.0,False,21.96,309.7,2.5xATR (15% wide),no institutional holder — nothing independent has verified these accounts | promoter sold 4.4 pts in 4 quarters,0,36
RTNPOWER,RattanIndia Power Limited,60.6,100.0,False,True,,Turnaround (margin-confirmed) + Deleveraging,price,7.360000133514404,BROKEN,18.1,0,42.7,-22.0,1.19,False,4038.0,11.14,12534.0,20.0,0.0,True,0.28,6.66,2.5xATR (10% wide),Rs7.4 share price — the tick alone is 0.1% of the price,0,37
BALAJITELE,Balaji Telefilms Limited,60.3,100.0,False,True,,Turnaround (margin-confirmed) + Deleveraging,price,93.16999816894533,WATCH,47.7,3,34.1,7.6,0.85,False,1122.0,1.223,1391.0,20.0,0.0,False,3.49,84.44,2.5xATR (9% wide),,0,38
BESTAGRO,Best Agrolife Limited,60.1,100.0,False,True,,,price+mcap,19.290000915527344,WATCH,68.8,4,43.9,20.0,0.6,False,606.0,1.636,2195.0,10.0,0.08,False,0.93,16.97,2.5xATR (12% wide),hit its circuit on 8% of recent sessions — a stop cannot fill in a locked market,0,39
MANOMAY,Manomay Tex India Limited,59.6,100.0,False,True,,,mcap,234.97000122070312,WATCH,81.4,6,9.6,27.4,1.74,False,386.0,2.329,1760.0,20.0,0.0,False,8.26,214.32,2.5xATR (9% wide),,0,40
RADHIKAJWE,Radhika Jeweltech Limited,58.7,100.0,False,True,,,price+mcap,83.16000366210938,WATCH,76.4,5,16.5,46.2,2.04,False,798.0,3.916,4490.0,20.0,0.0,False,3.98,73.21,2.5xATR (12% wide),,0,41
NFL,National Fertilizers Limited,58.4,100.0,False,True,,Turnaround (margin-confirmed),price,70.51000213623047,BROKEN,30.7,0,31.5,-5.2,0.9,False,3462.0,2.914,2955.0,20.0,0.0,True,1.28,67.31,2.5xATR (5% wide),,0,42
NILASPACES,Nila Spaces Limited,58.3,100.0,False,True,,Hyper-growth,price+mcap,12.229999542236328,BROKEN,42.2,0,40.3,1.4,1.95,False,496.0,1.194,1708.0,20.0,0.0,False,0.75,10.35,2.5xATR (15% wide),no institutional holder — nothing independent has verified these accounts,0,43
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,57.9,100.0,False,True,,Deleveraging,mcap,531.0499877929688,WATCH,67.3,6,17.0,6.1,1.32,False,912.0,0.508,723.0,20.0,0.0,False,15.69,491.82,2.5xATR (7% wide),,0,44
KMSUGAR,K.M.Sugar Mills Limited,57.5,100.0,False,True,,Momentum,price+mcap,30.68000030517578,CONFIRMED,79.4,8,15.9,12.9,2.69,False,279.0,0.933,1672.0,20.0,0.0,False,2.27,25.01,2.5xATR (18% wide),,0,45
PLASTIBLEN,Plastiblends India Limited,57.2,100.0,False,True,,,mcap,187.91000366210935,WATCH,81.9,7,13.1,9.9,0.6,False,490.0,0.561,871.0,20.0,0.0,False,6.21,172.39,2.5xATR (8% wide),,0,46
SHRIRAMPPS,Shriram Properties Limited,57.0,100.0,False,True,,Hyper-growth,price,76.9000015258789,WATCH,48.7,2,22.7,-11.2,0.57,False,1318.0,2.436,2758.0,20.0,0.0,False,2.18,71.45,2.5xATR (7% wide),,0,47
UNITEDPOLY,United Polyfab Gujarat Limited,56.8,100.0,False,True,,,price+mcap,41.65999984741211,EXTENDED,94.5,6,18.6,22.6,1.34,False,876.0,0.574,453.5,20.0,0.0,False,2.51,35.38,2.5xATR (15% wide),,0,48
ZIMLAB,Zim Laboratories Limited,56.7,100.0,False,True,,Momentum,mcap,125.5,CONFIRMED,97.5,8,8.3,11.0,1.38,False,670.0,0.971,2249.0,20.0,0.0,False,7.32,107.2,2.5xATR (15% wide),promoter sold 2.9 pts in 4 quarters,0,49
GATEWAY,Gateway Distriparks Limited,56.5,100.0,False,True,,,price,54.68999862670898,WATCH,39.4,1,19.2,-5.7,0.98,False,2689.0,5.859,8105.0,20.0,0.0,False,1.27,51.51,2.5xATR (6% wide),,0,50
ATL,Allcargo Terminals Limited,56.1,100.0,False,True,,,price+mcap,25.309999465942383,WATCH,57.3,4,37.5,3.3,1.8,False,666.0,0.523,1432.0,20.0,0.0,False,1.5,21.56,2.5xATR (15% wide),,0,51
RITCO,Ritco Logistics Limited,56.0,100.0,False,True,,,mcap,301.79998779296875,WATCH,84.4,7,7.8,20.7,0.83,False,871.0,3.065,2960.0,20.0,0.0,False,12.2,271.3,2.5xATR (10% wide),,0,52
ISFT,Intrasoft Technologies Limited,56.0,100.0,False,True,,Deleveraging,price+mcap,81.61000061035156,WATCH,59.8,3,31.5,-4.1,3.16,False,155.0,1.001,716.0,20.0,0.0,False,5.66,67.46,2.5xATR (17% wide),,0,53
OMINFRAL,OM INFRA LIMITED,55.8,100.0,False,True,,Turnaround (margin-confirmed) + Deleveraging,price+mcap,84.43000030517578,WATCH,46.7,0,41.4,2.1,0.49,False,788.0,0.539,1307.0,20.0,0.0,False,2.54,78.08,2.5xATR (8% wide),,0,54
DHARMAJ,Dharmaj Crop Guard Limited,55.6,100.0,False,True,,,mcap,270.04998779296875,WATCH,53.5,6,28.2,-1.5,1.32,False,911.0,1.114,1716.0,20.0,0.0,False,6.37,254.12,2.5xATR (6% wide),,0,55
MAXIND,Max India Limited,55.6,100.0,False,True,,Hyper-growth,mcap,150.66000366210938,BROKEN,32.9,0,37.6,-5.3,0.79,False,856.0,1.002,1493.0,20.0,0.0,False,5.04,138.06,2.5xATR (8% wide),promoter sold 1.6 pts in 4 quarters,0,56
