symbol,industry,index_source,turnover_cr,rs_blend_raw,rs_improving,stage,last_close,rs_pctile,tag
YATHARTH,Healthcare,microcap250,21.74,1.452,False,2,838.7999877929688,87.62214983713355,WATCH
GESHIP,Services,smallcap250,65.53,1.449,False,2,1437.9000244140625,87.45928338762215,WATCH
GLAND,Healthcare,smallcap250,149.26,1.438,False,2,2379.800048828125,87.29641693811075,CONFIRMED
CGCL,Financial Services,smallcap250,127.77,1.431,False,2,238.22999572753903,87.13355048859935,WATCH
FLUOROCHEM,Chemicals,midcap150,87.68,1.43,False,2,4573.7001953125,86.97068403908796,EXTENDED
NUVAMA,Financial Services,smallcap250,122.53,1.428,True,2,1980.0999755859373,86.72638436482086,EXTENDED
STARHEALTH,Financial Services,smallcap250,28.74,1.428,False,2,580.7999877929688,86.72638436482086,CONFIRMED
VIYASH,Healthcare,microcap250,50.62,1.427,False,2,250.8999938964844,86.48208469055375,WATCH
ZYDUSWELL,Fast Moving Consumer Goods,smallcap250,81.92,1.421,False,2,563.0499877929688,86.31921824104235,CONFIRMED
NAVINFLUOR,Chemicals,smallcap250,91.12,1.42,False,2,7520.0,86.15635179153095,CONFIRMED
MCX,Financial Services,midcap150,861.23,1.419,False,2,2730.0,85.99348534201955,WATCH
CRAFTSMAN,Automobile and Auto Components,smallcap250,46.19,1.418,False,2,9284.0,85.83061889250814,CONFIRMED
BSE,Financial Services,midcap150,1045.71,1.411,False,2,3549.699951171875,85.58631921824104,WATCH
AUROPHARMA,Healthcare,midcap150,186.42,1.411,False,2,1532.0,85.58631921824104,CONFIRMED
VIJAYA,Healthcare,smallcap250,47.4,1.41,False,2,1313.9000244140625,85.34201954397395,WATCH
GREAVESCOT,Capital Goods,microcap250,89.27,1.409,True,2,246.32000732421875,85.17915309446255,WATCH
ASTERDM,Healthcare,smallcap250,40.61,1.407,False,2,785.6500244140625,84.93485342019544,CONFIRMED
JAYNECOIND,Capital Goods,microcap250,48.15,1.407,False,3,86.76000213623047,84.93485342019544,BROKEN
PGIL,Textiles,microcap250,17.13,1.4,False,2,1974.5,84.60912052117264,CONFIRMED
THYROCARE,Healthcare,microcap250,54.61,1.4,True,2,564.25,84.60912052117264,WATCH
MAHABANK,Financial Services,midcap150,170.95,1.391,False,2,81.02999877929688,84.36482084690554,WATCH
ABDL,Fast Moving Consumer Goods,smallcap250,42.61,1.387,False,3,620.75,84.20195439739415,WATCH
OFSS,Information Technology,midcap150,512.72,1.383,False,2,10652.0,84.03908794788273,CONFIRMED
NATIONALUM,Metals & Mining,midcap150,314.63,1.382,False,3,343.8999938964844,83.87622149837134,BROKEN
CAPLIPOINT,Healthcare,smallcap250,32.44,1.381,False,2,2467.10009765625,83.71335504885994,WATCH
GOKULAGRO,Fast Moving Consumer Goods,microcap250,7.36,1.377,False,2,209.92999267578125,83.55048859934854,WATCH
