symbol,company,industry,index_source
FSL,Firstsource Solutions Ltd.,Services,smallcap250
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,smallcap250
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,smallcap250
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,smallcap250
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,smallcap250
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,smallcap250
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,smallcap250
GLAND,Gland Pharma Ltd.,Healthcare,smallcap250
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,smallcap250
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,smallcap250
GRANULES,Granules India Ltd.,Healthcare,smallcap250
GRAPHITE,Graphite India Ltd.,Capital Goods,smallcap250
GRAVITA,Gravita India Ltd.,Metals & Mining,smallcap250
GESHIP,Great Eastern Shipping Co. Ltd.,Services,smallcap250
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,smallcap250
HEG,H.E.G. Ltd.,Capital Goods,smallcap250
HBLENGINE,HBL Engineering Ltd.,Capital Goods,smallcap250
HFCL,HFCL Ltd.,Telecommunication,smallcap250
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,smallcap250
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,smallcap250
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,smallcap250
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,smallcap250
IDBI,IDBI Bank Ltd.,Financial Services,smallcap250
IFCI,IFCI Ltd.,Financial Services,smallcap250
IIFL,IIFL Finance Ltd.,Financial Services,smallcap250
IRB,IRB Infrastructure Developers Ltd.,Construction,smallcap250
IRCON,IRCON International Ltd.,Construction,smallcap250
ITI,ITI Ltd.,Telecommunication,smallcap250
INDGN,Indegene Ltd.,Healthcare,smallcap250
INDIACEM,India Cements Ltd.,Construction Materials,smallcap250
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,smallcap250
IEX,Indian Energy Exchange Ltd.,Financial Services,smallcap250
IOB,Indian Overseas Bank,Financial Services,smallcap250
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,smallcap250
INOXWIND,Inox Wind Ltd.,Capital Goods,smallcap250
INTELLECT,Intellect Design Arena Ltd.,Information Technology,smallcap250
IGIL,International Gemological Institute Ltd.,Services,smallcap250
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,smallcap250
JBMA,JBM Auto Ltd.,Automobile and Auto Components,smallcap250
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,smallcap250
JMFINANCIL,JM Financial Ltd.,Financial Services,smallcap250
JSWCEMENT,JSW Cement Ltd.,Construction Materials,smallcap250
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,smallcap250
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,smallcap250
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,smallcap250
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,smallcap250
JINDALSAW,Jindal Saw Ltd.,Capital Goods,smallcap250
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,smallcap250
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,smallcap250
JWL,Jupiter Wagons Ltd.,Capital Goods,smallcap250
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,smallcap250
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,smallcap250
KPIL,Kalpataru Projects International Ltd.,Construction,smallcap250
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,smallcap250
KAYNES,Kaynes Technology India Ltd.,Capital Goods,smallcap250
KEC,Kec International Ltd.,Construction,smallcap250
KFINTECH,Kfin Technologies Ltd.,Financial Services,smallcap250
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,smallcap250
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,smallcap250
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,smallcap250
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,smallcap250
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,smallcap250
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,smallcap250
MMTC,MMTC Ltd.,Services,smallcap250
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,smallcap250
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,smallcap250
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,smallcap250
MEESHO,Meesho Ltd.,Consumer Services,smallcap250
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,smallcap250
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,smallcap250
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,smallcap250
NBCC,NBCC (India) Ltd.,Construction,smallcap250
NCC,NCC Ltd.,Construction,smallcap250
NSLNISP,NMDC Steel Ltd.,Metals & Mining,smallcap250
NH,Narayana Hrudayalaya Ltd.,Healthcare,smallcap250
NAVA,Nava Ltd.,Power,smallcap250
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,smallcap250
NETWEB,Netweb Technologies India Ltd.,Information Technology,smallcap250
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,smallcap250
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,smallcap250
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,smallcap250
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,smallcap250
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,smallcap250
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,smallcap250
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,smallcap250
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,smallcap250
PCBL,PCBL Chemical Ltd.,Chemicals,smallcap250
PGEL,PG Electroplast Ltd.,Consumer Durables,smallcap250
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,smallcap250
PTCIL,PTC Industries Ltd.,Capital Goods,smallcap250
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,smallcap250
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,smallcap250
PFIZER,Pfizer Ltd.,Healthcare,smallcap250
PWL,Physicswallah Ltd.,Consumer Services,smallcap250
PINELABS,Pine Labs Ltd.,Financial Services,smallcap250
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,smallcap250
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,smallcap250
POLYMED,Poly Medicure Ltd.,Healthcare,smallcap250
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,smallcap250
PFOCUS,Prime Focus Ltd.,Media Entertainment & Publication,smallcap250
RRKABEL,R R Kabel Ltd.,Capital Goods,smallcap250
RBLBANK,RBL Bank Ltd.,Financial Services,smallcap250
