symbol,company,industry,index_source
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction,microcap250
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,microcap250
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,microcap250
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,microcap250
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,microcap250
ALOKINDS,Alok Industries Ltd.,Textiles,microcap250
APOLLO,Apollo Micro Systems Ltd.,Capital Goods,microcap250
ACI,Archean Chemical Industries Ltd.,Chemicals,microcap250
ARVINDFASN,Arvind Fashions Ltd.,Consumer Services,microcap250
ARVIND,Arvind Ltd.,Textiles,microcap250
ASHAPURMIN,Ashapura Minechem Ltd.,Metals & Mining,microcap250
ASHOKA,Ashoka Buildcon Ltd.,Construction,microcap250
ASTRAMICRO,Astra Microwave Products Ltd.,Capital Goods,microcap250
ATLANTAELE,Atlanta Electricals Ltd.,Capital Goods,microcap250
AURIONPRO,Aurionpro Solution Ltd.,Information Technology,microcap250
AVALON,Avalon Technologies Ltd.,Capital Goods,microcap250
AVANTIFEED,Avanti Feeds Ltd.,Fast Moving Consumer Goods,microcap250
CCAVENUE,AvenuesAI Ltd.,Financial Services,microcap250
AWFIS,Awfis Space Solutions Ltd.,Services,microcap250
AZAD,Azad Engineering Ltd.,Capital Goods,microcap250
BAJAJELEC,Bajaj Electricals Ltd,Consumer Durables,microcap250
BALAMINES,Balaji Amines Ltd.,Chemicals,microcap250
BALUFORGE,Balu Forge Industries Ltd.,Capital Goods,microcap250
BANCOINDIA,Banco Products (India) Ltd.,Automobile and Auto Components,microcap250
BIRLACORPN,Birla Corporation Ltd.,Construction Materials,microcap250
BBOX,Black Box Ltd.,Information Technology,microcap250
BLACKBUCK,Blackbuck Ltd.,Services,microcap250
BLUESTONE,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,microcap250
BORORENEW,Borosil Renewables Ltd.,Capital Goods,microcap250
CMSINFO,CMS Info Systems Ltd.,Services,microcap250
CORONA,CORONA Remedies Ltd.,Healthcare,microcap250
CSBBANK,CSB Bank Ltd.,Financial Services,microcap250
CAMPUS,Campus Activewear Ltd.,Consumer Durables,microcap250
CRAMC,Canara Robeco Asset Management Company Ltd.,Financial Services,microcap250
CAPILLARY,Capillary Technologies India Ltd.,Information Technology,microcap250
CELLO,Cello World Ltd.,Consumer Durables,microcap250
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables,microcap250
CERA,Cera Sanitaryware Ltd,Consumer Durables,microcap250
CRIZAC,Crizac Ltd.,Consumer Services,microcap250
CUPID,Cupid Ltd.,Fast Moving Consumer Goods,microcap250
DCBBANK,DCB Bank Ltd.,Financial Services,microcap250
DATAMATICS,Datamatics Global Services Ltd.,Information Technology,microcap250
DIACABS,Diamond Power Infrastructure Ltd.,Capital Goods,microcap250
DBL,Dilip Buildcon Ltd.,Construction,microcap250
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,microcap250
DYNAMATECH,Dynamatic Technologies Ltd.,Capital Goods,microcap250
EPL,EPL Ltd.,Capital Goods,microcap250
EDELWEISS,Edelweiss Financial Services Ltd.,Financial Services,microcap250
EMIL,Electronics Mart India Ltd.,Consumer Services,microcap250
ELECTCAST,Electrosteel Castings Ltd.,Capital Goods,microcap250
ELLEN,Ellenbarrie Industrial Gases Ltd.,Chemicals,microcap250
EMBDL,Embassy Developments Ltd.,Realty,microcap250
ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services,microcap250
EIEL,Enviro Infra Engineers Ltd.,Utilities,microcap250
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services,microcap250
ETHOSLTD,Ethos Ltd.,Consumer Durables,microcap250
EUREKAFORB,Eureka Forbes Ltd.,Consumer Durables,microcap250
FEDFINA,Fedbank Financial Services Ltd.,Financial Services,microcap250
FIEMIND,Fiem Industries Ltd,Automobile and Auto Components,microcap250
FINPIPE,Finolex Industries Ltd.,Capital Goods,microcap250
UTLSOLAR,Fujiyama Power Systems Ltd.,Capital Goods,microcap250
GHCL,GHCL Ltd.,Chemicals,microcap250
GMMPFAUDLR,GMM Pfaudler Ltd.,Capital Goods,microcap250
GMRP&UI,GMR Power and Urban Infra Ltd.,Power,microcap250
GRWRHITECH,Garware Hi-Tech Films Ltd.,Capital Goods,microcap250
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,microcap250
GOKEX,Gokaldas Exports Ltd.,Textiles,microcap250
GOKULAGRO,Gokul Agro Resources Ltd.,Fast Moving Consumer Goods,microcap250
GREAVESCOT,Greaves Cotton Ltd.,Capital Goods,microcap250
GRINDWELL,Grindwell Norton Ltd.,Capital Goods,microcap250
GAEL,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,microcap250
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,microcap250
GPPL,Gujarat Pipavav Port Ltd.,Services,microcap250
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,microcap250
HGINFRA,H.G. Infra Engineering Ltd.,Construction,microcap250
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology,microcap250
HCG,Healthcare Global Enterprises Ltd.,Healthcare,microcap250
HEMIPROP,Hemisphere Properties India Ltd.,Services,microcap250
HERITGFOOD,Heritage Foods Ltd.,Fast Moving Consumer Goods,microcap250
HCC,Hindustan Construction Co. Ltd.,Construction,microcap250
IFBIND,IFB Industries Ltd.,Consumer Durables,microcap250
IIFLCAPS,IIFL Capital Services Ltd.,Financial Services,microcap250
INOXINDIA,INOX India Ltd.,Capital Goods,microcap250
INDIAGLYCO,India Glycols Ltd.,Fast Moving Consumer Goods,microcap250
INDIASHLTR,India Shelter Finance Corporation Ltd.,Financial Services,microcap250
IMFA,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,microcap250
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables,microcap250
ICIL,Indo Count Industries Ltd.,Textiles,microcap250
INOXGREEN,Inox Green Energy Services Ltd.,Services,microcap250
IONEXCHANG,Ion Exchange (India) Ltd.,Utilities,microcap250
JAIBALAJI,JAI BALAJI INDUSTRIES Ltd.,Metals & Mining,microcap250
JKLAKSHMI,JK Lakshmi Cement Ltd.,Construction Materials,microcap250
JKPAPER,JK Paper Ltd.,Forest Materials,microcap250
JAMNAAUTO,Jamna Auto Industries Ltd.,Automobile and Auto Components,microcap250
JSFB,Jana Small Finance Bank Ltd.,Financial Services,microcap250
JAYNECOIND,Jayaswal Neco Industries Ltd.,Capital Goods,microcap250
JSLL,Jeena Sikho Lifecare Ltd.,Consumer Services,microcap250
JLHL,Jupiter Life Line Hospitals Ltd.,Healthcare,microcap250
JUSTDIAL,Justdial Ltd.,Consumer Services,microcap250
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,microcap250
KNRCON,KNR Constructions Ltd.,Construction,microcap250
KPIGREEN,KPI Green Energy Ltd.,Power,microcap250
KRBL,KRBL Ltd.,Fast Moving Consumer Goods,microcap250
KRN,KRN HEAT EXCHANGER AND REFRIGERATION Ltd.,Capital Goods,microcap250
KSB,KSB Ltd.,Capital Goods,microcap250
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,microcap250
KTKBANK,Karnataka Bank Ltd.,Financial Services,microcap250
KSCL,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods,microcap250
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,microcap250
KIRLPNU,Kirloskar Pneumatic Company Ltd.,Capital Goods,microcap250
KITEX,Kitex Garments Ltd.,Textiles,microcap250
LXCHEM,Laxmi Organic Industries Ltd.,Chemicals,microcap250
IXIGO,Le Travenues Technology Ltd.,Consumer Services,microcap250
LLOYDSENGG,Lloyds Engineering Works Ltd.,Capital Goods,microcap250
LLOYDSENT,Lloyds Enterprises Ltd.,Metals & Mining,microcap250
LUMAXTECH,Lumax Auto Technologies Ltd.,Automobile and Auto Components,microcap250
MOIL,MOIL Ltd.,Metals & Mining,microcap250
MSTCLTD,MSTC Ltd.,Services,microcap250
MTARTECH,MTAR Technologies Ltd.,Capital Goods,microcap250
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,microcap250
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods,microcap250
MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods,microcap250
MARKSANS,Marksans Pharma Ltd.,Healthcare,microcap250
MASTEK,Mastek Ltd.,Information Technology,microcap250
MEDPLUS,Medplus Health Services Ltd.,Consumer Services,microcap250
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare,microcap250
MIDHANI,Mishra Dhatu Nigam Ltd.,Capital Goods,microcap250
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,microcap250
NEOGEN,NEOGEN CHEMICALS LTD.,Chemicals,microcap250
NESCO,NESCO Ltd.,Services,microcap250
NFL,National Fertilizers Ltd.,Chemicals,microcap250
NAZARA,Nazara Technologies Ltd.,Media Entertainment & Publication,microcap250
NETWORK18,Network18 Media & Investments Ltd.,Media Entertainment & Publication,microcap250
OPTIEMUS,Optiemus Infracom Ltd.,Telecommunication,microcap250
ORIENTCEM,Orient Cement Ltd.,Construction Materials,microcap250
ORKLAINDIA,Orkla India Ltd.,Fast Moving Consumer Goods,microcap250
OSWALPUMPS,Oswal Pumps Ltd.,Capital Goods,microcap250
PNGJL,P N Gadgil Jewellers Ltd.,Consumer Durables,microcap250
PCJEWELLER,PC Jeweller Ltd.,Consumer Durables,microcap250
PNCINFRA,PNC Infratech Ltd.,Construction,microcap250
PTC,PTC India Ltd.,Power,microcap250
PARAS,Paras Defence and Space Technologies Ltd.,Capital Goods,microcap250
PARKHOSPS,Park Medi World Ltd.,Healthcare,microcap250
PGIL,Pearl Global Industries Ltd.,Textiles,microcap250
PICCADIL,Piccadily Agro Industries Ltd.,Fast Moving Consumer Goods,microcap250
POWERMECH,Power Mech Projects Ltd.,Construction,microcap250
PRAJIND,Praj Industries Ltd.,Capital Goods,microcap250
PRICOLLTD,Pricol Ltd.,Automobile and Auto Components,microcap250
PRSMJOHNSN,Prism Johnson Ltd.,Construction Materials,microcap250
PRIVISCL,Privi Speciality Chemicals Ltd.,Chemicals,microcap250
PRUDENT,Prudent Corporate Advisory Services Ltd.,Financial Services,microcap250
PURVA,Puravankara Ltd.,Realty,microcap250
QPOWER,QUALITY POWER ELECTRICAL EQUIPMENTS Ltd.,Capital Goods,microcap250
QUESS,Quess Corp Ltd.,Services,microcap250
RAIN,Rain Industries Ltd,Chemicals,microcap250
RALLIS,Rallis India Ltd.,Chemicals,microcap250
RCF,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,microcap250
RATEGAIN,Rategain Travel Technologies Ltd.,Information Technology,microcap250
RATNAMANI,Ratnamani Metals & Tubes Ltd.,Capital Goods,microcap250
RTNINDIA,RattanIndia Enterprises Ltd.,Consumer Services,microcap250
RTNPOWER,RattanIndia Power Ltd.,Power,microcap250
RAYMONDLSL,Raymond Lifestyle Ltd.,Textiles,microcap250
REDTAPE,Redtape Ltd.,Consumer Durables,microcap250
REFEX,Refex Industries Ltd.,Utilities,microcap250
RELAXO,Relaxo Footwears Ltd.,Consumer Durables,microcap250
RELIGARE,Religare Enterprises Ltd.,Financial Services,microcap250
RBA,Restaurant Brands Asia Ltd.,Consumer Services,microcap250
ROUTE,Route Mobile Ltd.,Telecommunication,microcap250
RUBICON,Rubicon Research Ltd.,Healthcare,microcap250
SKFINDUS,SKF India (Industrial) Ltd.,Capital Goods,microcap250
SKFINDIA,SKF India Ltd.,Automobile and Auto Components,microcap250
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,microcap250
SMLMAH,SML Mahindra Ltd.,Capital Goods,microcap250
SHRIPISTON,SPR Auto Technologies Ltd.,Automobile and Auto Components,microcap250
LOTUSDEV,SRI LOTUS DEVELOPERS AND REALTY Ltd.,Realty,microcap250
SAATVIKGL,Saatvik Green Energy Ltd.,Capital Goods,microcap250
SAFARI,Safari Industries (India) Ltd.,Consumer Durables,microcap250
SAMHI,Samhi Hotels Ltd.,Consumer Services,microcap250
SANDUMA,Sandur Manganese & Iron Ores Ltd.,Metals & Mining,microcap250
SANOFICONR,Sanofi Consumer Healthcare India Ltd.,Healthcare,microcap250
SANSERA,Sansera Engineering Ltd.,Automobile and Auto Components,microcap250
SENCO,Senco Gold Ltd.,Consumer Durables,microcap250
STYL,Seshaasai Technologies Ltd.,Financial Services,microcap250
SHAILY,Shaily Engineering Plastics Ltd.,Consumer Durables,microcap250
SHAKTIPUMP,Shakti Pumps (India) Ltd.,Capital Goods,microcap250
SHARDACROP,Sharda Cropchem Ltd.,Chemicals,microcap250
SHAREINDIA,Share India Securities Ltd.,Financial Services,microcap250
SFL,Sheela Foam Ltd.,Consumer Durables,microcap250
SHILPAMED,Shilpa Medicare Ltd.,Healthcare,microcap250
RENUKA,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,microcap250
SKIPPER,Skipper Ltd.,Capital Goods,microcap250
SMARTWORKS,Smartworks Coworking Spaces Ltd.,Services,microcap250
SOUTHBANK,South Indian Bank Ltd.,Financial Services,microcap250
STARCEMENT,Star Cement Ltd.,Construction Materials,microcap250
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,microcap250
STLTECH,Sterlite Technologies Ltd.,Telecommunication,microcap250
STAR,Strides Pharma Science Ltd.,Healthcare,microcap250
STYRENIX,Styrenix Performance Materials Ltd.,Chemicals,microcap250
SUBROS,Subros Ltd.,Capital Goods,microcap250
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,Chemicals,microcap250
SUDEEPPHRM,Sudeep Pharma Ltd.,Chemicals,microcap250
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,microcap250
SUNTECK,Sunteck Realty Ltd.,Realty,microcap250
SUPRIYA,Supriya Lifescience Ltd.,Healthcare,microcap250
SURYAROSNI,Surya Roshni Ltd.,Capital Goods,microcap250
TARC,TARC Ltd.,Realty,microcap250
TDPOWERSYS,TD Power Systems Ltd.,Capital Goods,microcap250
TSFINV,TSF Investments Ltd.,Financial Services,microcap250
TVSSCS,TVS Supply Chain Solutions Ltd.,Services,microcap250
TMB,Tamilnad Mercantile Bank Ltd.,Financial Services,microcap250
TANLA,Tanla Platforms Ltd.,Information Technology,microcap250
TEXRAIL,Texmaco Rail & Eng. Ltd.,Capital Goods,microcap250
THANGAMAYL,Thangamayil Jewellery Ltd.,Consumer Durables,microcap250
ANUP,The Anup Engineering Ltd.,Capital Goods,microcap250
THOMASCOOK,Thomas Cook (India) Ltd.,Consumer Services,microcap250
THYROCARE,Thyrocare Technologies Ltd.,Healthcare,microcap250
TI,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,microcap250
TIMETECHNO,Time Technoplast Ltd.,Capital Goods,microcap250
TIPSMUSIC,Tips Music Ltd.,Media Entertainment & Publication,microcap250
TRANSRAILL,Transrail Lighting Ltd.,Capital Goods,microcap250
TRIVENI,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,microcap250
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financial Services,microcap250
VGUARD,V-Guard Industries Ltd.,Consumer Durables,microcap250
VMART,V-Mart Retail Ltd.,Consumer Services,microcap250
VIPIND,V.I.P. Industries Ltd.,Consumer Durables,microcap250
V2RETAIL,V2 Retail Ltd.,Consumer Services,microcap250
DBREALTY,VALOR ESTATE Ltd.,Realty,microcap250
WABAG,Va Tech Wabag Ltd.,Utilities,microcap250
VAIBHAVGBL,Vaibhav Global Ltd.,Consumer Durables,microcap250
VARROC,Varroc Engineering Ltd.,Automobile and Auto Components,microcap250
MANYAVAR,Vedant Fashions Ltd.,Consumer Services,microcap250
VIKRAMSOLR,Vikram Solar Ltd.,Capital Goods,microcap250
VIYASH,Viyash Scientific Ltd.,Healthcare,microcap250
VOLTAMP,Voltamp Transformers Ltd,Capital Goods,microcap250
WAAREERTL,Waaree Renewable Technologies Ltd.,Capital Goods,microcap250
WAKEFIT,Wakefit Innovations Ltd.,Consumer Durables,microcap250
WEWORK,WeWork India Management Ltd.,Services,microcap250
WEBELSOLAR,Websol Energy System Ltd.,Capital Goods,microcap250
WELENT,Welspun Enterprises Ltd.,Construction,microcap250
WESTLIFE,Westlife Foodworld Ltd.,Consumer Services,microcap250
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,microcap250
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,Information Technology,microcap250
METROBRAND,Metro Brands Limited,,nse_gap
KIOCL,KIOCL Limited,,nse_gap
HATSUN,Hatsun Agro Product Limited,,nse_gap
LMW,LMW Limited,,nse_gap
ASTRAZEN,AstraZeneca Pharma India Limited,,nse_gap
BASF,BASF India Limited,,nse_gap
PSB,Punjab & Sind Bank,,nse_gap
FINEORG,Fine Organic Industries Limited,,nse_gap
INGERRAND,Ingersoll Rand (India) Limited,,nse_gap
VENTIVE,Ventive Hospitality Limited,,nse_gap
VINATIORGA,Vinati Organics Limited,,nse_gap
JSWHL,JSW Holdings Limited,,nse_gap
SHREEJISPG,Shreeji Shipping Global Limited,,nse_gap
PGHL,Procter & Gamble Health Limited,,nse_gap
ESABINDIA,Esab India Limited,,nse_gap
GENUSPOWER,Genus Power Infrastructures Limited,,nse_gap
VESUVIUS,Vesuvius India Limited,,nse_gap
GRINFRA,G R Infraprojects Limited,,nse_gap
GALAXYSURF,Galaxy Surfactants Limited,,nse_gap
SJS,S.J.S. Enterprises Limited,,nse_gap
TTKPRESTIG,TTK Prestige Limited,,nse_gap
MAHLIFE,Mahindra Lifespace Developers Limited,,nse_gap
GARFIBRES,Garware Technical Fibres Limited,,nse_gap
PRECWIRE,Precision Wires India Limited,,nse_gap
KINGFA,Kingfa Science & Technology (India) Limited,,nse_gap
HNDFDS,Hindustan Foods Limited,,nse_gap
UNIMECH,Unimech Aerospace and Manufacturing Limited,,nse_gap
SANOFI,Sanofi India Limited,,nse_gap
TIIL,Technocraft Industries (India) Limited,,nse_gap
MBAPL,Madhya Bharat Agro Products Limited,,nse_gap
SUPRAJIT,Suprajit Engineering Limited,,nse_gap
TCI,Transport Corporation of India Limited,,nse_gap
GANESHHOU,GANESH HOUSING LIMITED,,nse_gap
DODLA,Dodla Dairy Limited,,nse_gap
AJAXENGG,Ajax Engineering Limited,,nse_gap
GREENLAM,Greenlam Industries Limited,,nse_gap
PAISALO,Paisalo Digital Limited,,nse_gap
SUNFLAG,Sunflag Iron And Steel Company Limited,,nse_gap
BAJAJCON,Bajaj Consumer Care Limited,,nse_gap
INNOVACAP,Innova Captab Limited,,nse_gap
SENORES,Senores Pharmaceuticals Limited,,nse_gap
STYLAMIND,Stylam Industries Limited,,nse_gap
AEROFLEX,Aeroflex Industries Limited,,nse_gap
ITDC,India Tourism Development Corporation Limited,,nse_gap
EBGNG,GNG Electronics Limited,,nse_gap
SIS,SIS LIMITED,,nse_gap
KRISHANA,Krishana Phoschem Limited,,nse_gap
KALPATARU,Kalpataru Limited,,nse_gap
GULFOILLUB,Gulf Oil Lubricants India Limited,,nse_gap
SBCL,Shivalik Bimetal Controls Limited,,nse_gap
FDC,FDC Limited,,nse_gap
GOLDIAM,Goldiam International Limited,,nse_gap
ISGEC,Isgec Heavy Engineering Limited,,nse_gap
MASFIN,MAS Financial Services Limited,,nse_gap
CEIGALL,Ceigall India Limited,,nse_gap
LUMAXIND,Lumax Industries Limited,,nse_gap
VADILALIND,Vadilal Industries Limited,,nse_gap
SHARDAMOTR,Sharda Motor Industries Limited,,nse_gap
PDSL,PDS Limited,,nse_gap
VRLLOG,VRL Logistics Limited,,nse_gap
CARERATING,CARE Ratings Limited,,nse_gap
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,nse_gap
LGBBROSLTD,LG Balakrishnan & Bros Limited,,nse_gap
ICRA,ICRA Limited,,nse_gap
BANSALWIRE,Bansal Wire Industries Limited,,nse_gap
GUJALKALI,Gujarat Alkalies and Chemicals Limited,,nse_gap
CENTUM,Centum Electronics Limited,,nse_gap
ARTEMISMED,Artemis Medicare Services Limited,,nse_gap
SSWL,Steel Strips Wheels Limited,,nse_gap
KDDL,KDDL Limited,,nse_gap
SOTL,Savita Oil Technologies Limited,,nse_gap
ROLEXRINGS,Rolex Rings Limited,,nse_gap
RUSTOMJEE,Keystone Realtors Limited,,nse_gap
JUNIPER,Juniper Hotels Limited,,nse_gap
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,,nse_gap
EPIGRAL,Epigral Limited,,nse_gap
MANINDS,Man Industries (India) Limited,,nse_gap
AGI,AGI Greenpac Limited,,nse_gap
SGFIN,SG Finserve Limited,,nse_gap
NRBBEARING,NRB Bearing Limited,,nse_gap
EMUDHRA,eMudhra Limited,,nse_gap
HIRECT,Hirect Limited,,nse_gap
GUJTHEM,Gujarat Themis Biosyn Limited,,nse_gap
NORTHARC,Northern Arc Capital Limited,,nse_gap
MHRIL,Mahindra Holidays & Resorts India Limited,,nse_gap
RAMRAT,Ram Ratna Wires Limited,,nse_gap
SHOPERSTOP,Shoppers Stop Limited,,nse_gap
DHANUKA,Dhanuka Agritech Limited,,nse_gap
GOODLUCK,Goodluck India Limited,,nse_gap
RPGLIFE,RPG Life Sciences Limited,,nse_gap
GUFICBIO,Gufic Biosciences Limited,,nse_gap
SWARAJENG,Swaraj Engines Limited,,nse_gap
VISHNU,Vishnu Chemicals Limited,,nse_gap
SYMPHONY,Symphony Limited,,nse_gap
INDOSTAR,IndoStar Capital Finance Limited,,nse_gap
SANGHVIMOV,Sanghvi Movers Limited,,nse_gap
AVANTEL,Avantel Limited,,nse_gap
KOLTEPATIL,Kolte - Patil Developers Limited,,nse_gap
FOSECOIND,Foseco India Limited,,nse_gap
RESPONIND,Responsive Industries Limited,,nse_gap
RAYMOND,Raymond Limited,,nse_gap
WSTCSTPAPR,West Coast Paper Mills Limited,,nse_gap
MAHLOG,Mahindra Logistics Limited,,nse_gap
ROSSTECH,Rossell Techsys Limited,,nse_gap
TFCILTD,Tourism Finance Corporation of India Limited,,nse_gap
MOSCHIP,Moschip Technologies Limited,,nse_gap
SEAMECLTD,Seamec Limited,,nse_gap
HARSHA,Harsha Engineers International Limited,,nse_gap
PITTIENG,Pitti Engineering Limited,,nse_gap
NACLIND,NACL Industries Limited,,nse_gap
MANINFRA,Man Infraconstruction Limited,,nse_gap
ORIENTELEC,Orient Electric Limited,,nse_gap
RAYMONDREL,Raymond Realty Limited,,nse_gap
JKIL,J.Kumar Infraprojects Limited,,nse_gap
KIRLOSIND,Kirloskar Industries Limited,,nse_gap
SANATHAN,Sanathan Textiles Limited,,nse_gap
KSL,Kalyani Steels Limited,,nse_gap
SANDHAR,Sandhar Technologies Limited,,nse_gap
AGIIL,Agi Infra Limited,,nse_gap
VSTTILLERS,V.S.T Tillers Tractors Limited,,nse_gap
ZOTA,Zota Health Care LImited,,nse_gap
DIVGIITTS,Divgi Torqtransfer Systems Limited,,nse_gap
POLYPLEX,Polyplex Corporation Limited,,nse_gap
UNICHEMLAB,Unichem Laboratories Limited,,nse_gap
ASHIANA,Ashiana Housing Limited,,nse_gap
UNIPARTS,Uniparts India Limited,,nse_gap
POCL,Pondy Oxides & Chemicals Limited,,nse_gap
DBCORP,D.B.Corp Limited,,nse_gap
PSPPROJECT,PSP Projects Limited,,nse_gap
LUXIND,Lux Industries Limited,,nse_gap
HEIDELBERG,HeidelbergCement India Limited,,nse_gap
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,nse_gap
63MOONS,63 moons technologies limited,,nse_gap
VSTIND,VST Industries Limited,,nse_gap
STEELCAS,Steelcast Limited,,nse_gap
TCPLPACK,TCPL Packaging Limited,,nse_gap
GREENPLY,Greenply Industries Limited,,nse_gap
SAMBHV,Sambhv Steel Tubes Limited,,nse_gap
MUTHOOTMF,Muthoot Microfin Limited,,nse_gap
GOPAL,Gopal Snacks Limited,,nse_gap
JTEKTINDIA,Jtekt India Limited,,nse_gap
WHEELS,Wheels India Limited,,nse_gap
INDRAMEDCO,Indraprastha Medical Corporation Limited,,nse_gap
VSSL,Vardhman Special Steels Limited,,nse_gap
SMSPHARMA,SMS Pharmaceuticals Limited,,nse_gap
CARYSIL,CARYSIL LIMITED,,nse_gap
NPST,Network People Services Technologies Limited,,nse_gap
RELTD,Ravindra Energy Limited,,nse_gap
NITINSPIN,Nitin Spinners Limited,,nse_gap
WONDERLA,Wonderla Holidays Limited,,nse_gap
JUBLCPL,Jubilant Agri and Consumer Products Limited,,nse_gap
MAYURUNIQ,Mayur Uniquoters Ltd,,nse_gap
DREDGECORP,Dredging Corporation of India Limited,,nse_gap
MMFL,MM Forgings Limited,,nse_gap
WINDMACHIN,Windsor Machines Limited,,nse_gap
VENUSPIPES,Venus Pipes & Tubes Limited,,nse_gap
KKCL,Kewal Kiran Clothing Limited,,nse_gap
NIITMTS,NIIT Learning Systems Limited,,nse_gap
APCOTEXIND,Apcotex Industries Limited,,nse_gap
FUSION,Fusion Finance Limited,,nse_gap
PRINCEPIPE,Prince Pipes And Fittings Limited,,nse_gap
BEPL,Bhansali Engineering Polymers Limited,,nse_gap
ARVSMART,Arvind SmartSpaces Limited,,nse_gap
MONARCH,Monarch Networth Capital Limited,,nse_gap
BOROLTD,Borosil Limited,,nse_gap
RML,Rane (Madras) Limited,,nse_gap
BALMLAWRIE,Balmer Lawrie & Company Limited,,nse_gap
JASH,Jash Engineering Limited,,nse_gap
PANAMAPET,Panama Petrochem Limited,,nse_gap
RAMCOIND,Ramco Industries Limited,,nse_gap
NSIL,Nalwa Sons Investments Limited,,nse_gap
NAVNETEDUL,Navneet Education Limited,,nse_gap
ADFFOODS,ADF Foods Limited,,nse_gap
CARRARO,Carraro India Limited,,nse_gap
INTERARCH,Interarch Building Solutions Limited,,nse_gap
GANECOS,Ganesha Ecosphere Limited,,nse_gap
DDEVPLSTIK,Ddev Plastiks Industries Limited,,nse_gap
MANGLMCEM,Mangalam Cement Limited,,nse_gap
RPSGVENT,RPSG VENTURES LIMITED,,nse_gap
GLOBUSSPR,Globus Spirits Limited,,nse_gap
SANGAMIND,Sangam (India) Limited,,nse_gap
BLSE,BLS E-Services Limited,,nse_gap
MAITHANALL,Maithan Alloys Limited,,nse_gap
CHEMPLASTS,Chemplast Sanmar Limited,,nse_gap
RSYSTEMS,R Systems International Limited,,nse_gap
EFCIL,EFC (I) Limited,,nse_gap
PRABHA,Prabha Energy Limited,,nse_gap
DIAMONDYD,Prataap Snacks Limited,,nse_gap
ANTELOPUS,Antelopus Selan Energy Limited,,nse_gap
POKARNA,Pokarna Limited,,nse_gap
ROSSARI,Rossari Biotech Limited,,nse_gap
NILKAMAL,Nilkamal Limited,,nse_gap
ORISSAMINE,The Orissa Minerals Development Company Limited,,nse_gap
SIYSIL,Siyaram Silk Mills Limited,,nse_gap
KIRIINDUS,Kiri Industries Limited,,nse_gap
ADOR,Ador Welding Limited,,nse_gap
VIMTALABS,Vimta Labs Limited,,nse_gap
DCAL,Dishman Carbogen Amcis Limited,,nse_gap
MUFIN,Mufin Green Finance Limited,,nse_gap
NOCIL,NOCIL Limited,,nse_gap
MEDIASSIST,Medi Assist Healthcare Services Limited,,nse_gap
XPROINDIA,Xpro India Limited,,nse_gap
GIPCL,Gujarat Industries Power Company Limited,,nse_gap
SPORTKING,Sportking India Limited,,nse_gap
FLAIR,Flair Writing Industries Limited,,nse_gap
PARAGMILK,Parag Milk Foods Limited,,nse_gap
TALBROAUTO,Talbros Automotive Components Limited,,nse_gap
HIKAL,Hikal Limited,,nse_gap
BBL,Bharat Bijlee Limited,,nse_gap
