symbol,market_cap_cr,current_price,pe,roce_pct,roe_pct,book_value,sales_growth_ttm,sales_growth_3y,sales_growth_5y,profit_growth_ttm,profit_growth_3y,profit_growth_5y,np_latest_q,np_yoy_q,loss_to_profit,opm_latest_q,opm_yoy_q,np_yoy_streak,opm_yoy_streak,sales_latest_q,sales_yoy_q,sales_yoy_pct,sales_yoy_streak,debt_cr,debt_3y_ago_cr,debt_to_equity,cfo_last_cr,equity_cap_now,equity_cap_3y_ago,reserves_now,reserves_3y_ago,shares_out_cr,promoter_pct,promoter_pct_4q_ago,fii_pct,fii_pct_4q_ago,dii_pct,dii_pct_4q_ago,pledge_pct,fetched_at,source
NETWEB,31642.0,5323.0,121.0,37.5,32.8,127.0,108.0,70.0,73.0,102.0,64.0,90.0,85.0,30.0,False,15.0,15.0,9.0,0.0,820.0,301.0,172.4,9.0,282.0,36.0,0.39,171.0,11.0,10.0,712.0,83.0,5.5,66.98,71.0,9.27,10.82,5.91,3.57,,2026-08-30T10:06:06,https://www.screener.in/company/NETWEB/
APARINDS,74545.0,17803.0,61.8,31.8,20.3,1343.0,24.0,17.0,29.0,37.0,16.0,44.0,467.0,263.0,False,11.0,9.0,6.0,1.0,6591.0,5104.0,29.1,9.0,956.0,376.0,0.18,968.0,40.0,38.0,5353.0,2198.0,4.0,55.42,57.77,11.36,9.35,24.88,23.2,,2026-08-30T10:06:09,https://www.screener.in/company/APARINDS/consolidated/
MARKSANS,14941.0,330.0,28.9,18.8,15.2,66.7,20.0,17.0,16.0,48.0,16.0,12.0,159.0,58.0,False,25.0,16.0,4.0,3.0,841.0,620.0,35.6,9.0,343.0,123.0,0.11,458.0,45.0,45.0,2978.0,1700.0,45.0,43.87,43.87,17.47,16.92,6.19,5.28,,2026-08-30T10:06:13,https://www.screener.in/company/MARKSANS/consolidated/
BHEL,150025.0,431.0,61.7,9.14,6.23,75.1,27.0,13.0,14.0,739.0,36.0,21.0,377.0,-456.0,True,7.0,-10.0,4.0,4.0,7698.0,5487.0,40.3,9.0,8187.0,5454.0,0.31,5837.0,696.0,696.0,25450.0,23682.0,348.0,58.17,63.17,9.52,6.23,22.35,18.62,,2026-08-30T10:06:16,https://www.screener.in/company/BHEL/consolidated/
CHENNPETRO,19971.0,1341.0,4.78,34.9,31.8,746.0,34.0,-6.0,23.0,2380.0,-5.0,64.0,1031.0,-40.0,True,6.0,0.7,4.0,4.0,27369.0,14812.0,84.8,1.0,1964.0,4260.0,0.18,2945.0,149.0,149.0,10960.0,6326.0,14.9,67.29,67.29,14.98,8.8,1.01,2.6,,2026-08-30T10:06:19,https://www.screener.in/company/CHENNPETRO/consolidated/
DATAPATTNS,25891.0,4625.0,95.8,21.9,15.2,310.0,34.0,27.0,33.0,26.0,26.0,35.0,22.0,26.0,False,27.0,32.0,0.0,0.0,116.0,99.0,17.2,1.0,5.0,2.0,0.0,80.0,11.0,11.0,1725.0,1156.0,5.5,42.41,42.41,12.5,11.4,11.98,9.79,,2026-08-30T10:06:24,https://www.screener.in/company/DATAPATTNS/
AZAD,18040.0,2796.0,130.0,11.9,9.09,237.0,29.0,34.0,37.0,39.0,150.0,63.0,35.0,29.0,False,37.0,36.0,9.0,3.0,173.0,137.0,26.3,9.0,474.0,301.0,0.31,-119.0,13.0,2.0,1516.0,202.0,6.5,55.84,55.42,13.3,15.76,10.32,9.84,,2026-08-24T14:01:15,https://www.screener.in/company/AZAD/consolidated/
IDEA,159048.0,14.7,,-1.72,,-3.3,3.0,2.0,1.0,17.0,6.0,0.0,-3754.0,-6608.0,False,43.0,42.0,4.0,3.0,11689.0,11022.0,6.1,8.0,192528.0,237766.0,,19411.0,108343.0,48680.0,-144101.0,-123039.0,10834.3,25.64,25.57,6.17,5.99,6.05,4.74,,2026-08-30T10:06:27,https://www.screener.in/company/IDEA/consolidated/
SHAILY,15042.0,3270.0,85.1,29.3,26.9,156.0,20.0,18.0,,51.0,69.0,,48.0,41.0,False,30.0,28.0,9.0,9.0,281.0,247.0,13.8,9.0,177.0,188.0,0.25,226.0,9.0,9.0,707.0,392.0,4.5,41.09,43.72,18.18,11.3,14.84,13.71,,2026-08-30T10:06:30,https://www.screener.in/company/SHAILY/consolidated/
OFSS,106154.0,12190.0,31.1,45.3,32.6,899.0,29.0,10.0,9.0,42.0,13.0,8.0,1416.0,642.0,False,60.0,46.0,3.0,2.0,3125.0,1852.0,68.7,6.0,32.0,69.0,0.0,2638.0,44.0,43.0,7783.0,7416.0,8.8,72.41,72.53,9.7,8.66,8.79,8.45,,2026-08-30T10:06:34,https://www.screener.in/company/OFSS/consolidated/
HONASA,15344.0,471.0,60.8,19.2,15.7,43.4,21.0,17.0,39.0,242.0,118.0,17.0,90.0,41.0,False,15.0,8.0,5.0,4.0,756.0,595.0,27.1,7.0,135.0,1885.0,0.1,141.0,325.0,136.0,1086.0,-1323.0,32.5,35.47,34.97,13.64,15.5,21.58,19.15,,2026-08-30T10:06:37,https://www.screener.in/company/HONASA/consolidated/
NEOGEN,6051.0,2210.0,170.0,6.46,3.58,309.0,18.0,8.0,21.0,-12.0,-17.0,-2.0,17.0,10.0,False,19.0,17.0,2.0,1.0,250.0,187.0,33.7,9.0,1395.0,370.0,1.71,-231.0,26.0,25.0,790.0,458.0,2.6,53.0,51.22,4.11,5.15,19.6,25.22,,2026-08-30T10:06:40,https://www.screener.in/company/NEOGEN/consolidated/
QPOWER,11084.0,1431.0,83.2,31.5,25.1,70.0,122.0,55.0,,90.0,81.0,,47.0,37.0,False,18.0,18.0,7.0,0.0,233.0,177.0,31.6,6.0,40.0,11.0,0.07,80.0,77.0,0.15,465.0,112.0,7.7,73.91,73.91,3.37,2.13,6.45,5.92,,2026-08-30T10:06:43,https://www.screener.in/company/QPOWER/consolidated/
SHRIPISTON,21209.0,4572.0,36.4,20.8,21.4,659.0,35.0,20.0,23.0,11.0,25.0,45.0,148.0,135.0,False,18.0,20.0,9.0,0.0,1474.0,963.0,53.1,9.0,1968.0,333.0,0.68,625.0,44.0,22.0,2857.0,1505.0,4.4,41.55,43.75,8.39,6.62,16.0,13.14,,2026-08-30T10:06:47,https://www.screener.in/company/SHRIPISTON/consolidated/
TMB,14031.0,886.0,9.72,7.51,14.0,667.0,13.0,13.0,10.0,20.0,9.0,17.0,412.0,305.0,False,19.0,12.0,9.0,4.0,,,,,,,,-101.0,158.0,158.0,9952.0,6770.0,15.8,,,6.73,4.65,1.96,2.41,,2026-08-30T10:06:51,https://www.screener.in/company/TMB/
FINCABLES,19850.0,1298.0,24.8,16.0,12.3,398.0,27.0,12.0,18.0,29.0,12.0,9.0,249.0,163.0,False,12.0,10.0,4.0,1.0,2013.0,1396.0,44.2,6.0,19.0,14.0,0.0,49.0,31.0,31.0,6055.0,4340.0,15.5,35.86,35.86,9.65,9.9,16.71,15.88,,2026-08-30T10:06:55,https://www.screener.in/company/FINCABLES/consolidated/
AKUMS,12160.0,773.0,39.9,14.9,8.45,211.0,9.0,6.0,10.0,-7.0,29.0,16.0,101.0,65.0,False,15.0,13.0,1.0,3.0,1167.0,1024.0,14.0,3.0,157.0,619.0,0.05,1181.0,31.0,29.0,3283.0,689.0,15.5,75.26,75.26,1.91,2.27,13.44,9.28,,2026-08-30T10:06:58,https://www.screener.in/company/AKUMS/consolidated/
ARVIND,14781.0,543.0,33.7,14.7,10.8,154.0,15.0,4.0,13.0,19.0,6.0,134.0,58.0,55.0,False,10.0,9.0,2.0,2.0,2501.0,2006.0,24.7,8.0,1660.0,1517.0,0.41,867.0,262.0,262.0,3782.0,3084.0,26.2,38.09,39.53,15.88,16.51,22.78,19.3,,2026-08-30T10:07:01,https://www.screener.in/company/ARVIND/consolidated/
ACMESOLAR,27830.0,394.0,46.7,8.89,10.4,83.5,48.0,16.0,4.0,45.0,149.0,51.0,235.0,131.0,False,86.0,90.0,5.0,0.0,858.0,511.0,67.9,7.0,19896.0,9014.0,3.93,1249.0,121.0,104.0,4940.0,1796.0,60.5,71.4,83.41,4.39,5.57,19.1,6.39,,2026-08-30T10:07:04,https://www.screener.in/company/ACMESOLAR/consolidated/
PGIL,10690.0,2314.0,34.1,19.9,21.0,316.0,14.0,17.0,28.0,24.0,25.0,101.0,99.0,66.0,False,11.0,9.0,9.0,1.0,1528.0,1228.0,24.4,9.0,943.0,558.0,0.65,398.0,23.0,22.0,1437.0,701.0,4.6,61.11,62.75,6.82,6.5,19.16,14.02,,2026-08-30T10:07:08,https://www.screener.in/company/PGIL/consolidated/
MSTCLTD,5137.0,730.0,21.9,30.3,26.6,128.0,21.0,-20.0,-14.0,8.0,-3.0,14.0,58.0,42.0,False,61.0,56.0,2.0,2.0,94.0,77.0,22.1,5.0,145.0,145.0,0.16,-28.0,70.0,70.0,834.0,716.0,7.0,64.75,64.75,4.91,4.06,1.29,1.22,,2026-08-30T10:07:11,https://www.screener.in/company/MSTCLTD/consolidated/
GLAND,47642.0,2888.0,41.6,15.1,10.7,629.0,18.0,21.0,13.0,49.0,8.0,1.0,317.0,215.0,False,27.0,24.0,5.0,2.0,1800.0,1506.0,19.5,5.0,284.0,4.0,0.03,1031.0,16.0,16.0,10341.0,7942.0,16.0,51.77,51.83,8.74,7.9,30.44,32.63,,2026-08-30T10:07:14,https://www.screener.in/company/GLAND/consolidated/
ICIL,8614.0,435.0,57.1,8.19,5.52,119.0,5.0,11.0,10.0,-29.0,-23.0,-13.0,63.0,39.0,False,12.0,12.0,2.0,0.0,1207.0,959.0,25.9,2.0,1342.0,876.0,0.57,573.0,40.0,40.0,2316.0,1753.0,20.0,58.74,58.74,10.14,9.98,5.82,5.31,,2026-08-30T10:07:18,https://www.screener.in/company/ICIL/consolidated/
WABAG,12611.0,2022.0,31.6,21.3,15.9,412.0,20.0,10.0,7.0,30.0,93.0,28.0,90.0,66.0,False,9.0,13.0,9.0,0.0,887.0,734.0,20.8,9.0,228.0,219.0,0.09,207.0,12.0,12.0,2556.0,1562.0,6.0,19.08,19.1,18.25,18.4,6.33,4.47,,2026-08-25T14:02:26,https://www.screener.in/company/WABAG/consolidated/
POWERINDIA,148560.0,33330.0,125.0,29.4,21.9,1161.0,40.0,22.0,19.0,136.0,122.0,54.0,294.0,132.0,False,15.0,10.0,9.0,9.0,2494.0,1479.0,68.6,9.0,86.0,334.0,0.02,1245.0,9.0,8.0,5167.0,1207.0,4.5,71.31,71.31,12.44,9.67,6.32,7.92,,2026-08-30T10:07:22,https://www.screener.in/company/POWERINDIA/
ANANDRATHI,36752.0,2213.0,79.1,59.2,47.3,60.1,23.0,31.0,36.0,45.0,33.0,55.0,163.0,94.0,False,34.0,47.0,9.0,0.0,322.0,274.0,17.5,9.0,83.0,37.0,0.08,281.0,42.0,21.0,957.0,447.0,8.4,41.37,42.71,6.37,5.56,10.4,8.73,,2026-08-30T10:07:25,https://www.screener.in/company/ANANDRATHI/consolidated/
GOKULAGRO,7210.0,244.0,17.2,36.7,30.0,48.2,21.0,31.0,24.0,59.0,41.0,53.0,123.0,72.0,False,3.9,2.7,9.0,2.0,5282.0,4924.0,7.3,9.0,589.0,484.0,0.41,325.0,30.0,30.0,1393.0,621.0,30.0,74.24,73.67,1.87,1.87,0.11,0.01,,2026-08-30T10:07:29,https://www.screener.in/company/GOKULAGRO/consolidated/
ALIVUS,16577.0,1350.0,47.2,,,,23.0,,,12.0,,,,,False,,,,,,,,,,,,,,,,,,74.87,74.91,5.54,6.84,7.18,5.47,,2026-08-28T23:04:19,https://www.screener.in/company/ALIVUS/consolidated/
WELSPUNLIV,17994.0,190.0,64.7,6.25,4.47,51.3,-3.0,5.0,5.0,-49.0,4.0,-17.0,163.0,89.0,False,11.0,10.0,1.0,1.0,2795.0,2261.0,23.6,1.0,2315.0,2462.0,0.47,1175.0,96.0,99.0,4821.0,3989.0,96.0,66.36,66.24,5.21,4.97,11.38,8.58,,2026-08-30T10:07:32,https://www.screener.in/company/WELSPUNLIV/consolidated/
AUROPHARMA,94667.0,1645.0,25.0,12.9,10.1,652.0,9.0,11.0,6.0,11.0,23.0,1.0,1032.0,824.0,False,21.0,20.0,4.0,1.0,9150.0,7868.0,16.3,9.0,8073.0,5286.0,0.21,5526.0,58.0,59.0,37833.0,26781.0,58.0,51.88,51.82,16.38,14.21,25.05,27.6,,2026-08-30T10:07:35,https://www.screener.in/company/AUROPHARMA/consolidated/
CRAFTSMAN,29078.0,11118.0,62.1,13.9,12.5,1368.0,38.0,36.0,39.0,103.0,16.0,32.0,151.0,70.0,False,16.0,15.0,5.0,3.0,2432.0,1784.0,36.3,9.0,3623.0,1240.0,1.11,522.0,12.0,11.0,3252.0,1366.0,2.4,42.41,48.7,17.28,15.44,32.9,24.37,,2026-08-30T10:07:38,https://www.screener.in/company/CRAFTSMAN/consolidated/
CGCL,24822.0,258.0,22.0,11.7,16.5,74.9,50.0,48.0,45.0,95.0,67.0,40.0,353.0,175.0,False,31.0,25.0,9.0,7.0,,,,,,,,-8728.0,96.0,41.0,7107.0,3524.0,96.0,59.92,59.95,8.21,4.83,18.42,20.29,,2026-08-30T10:07:42,https://www.screener.in/company/CGCL/consolidated/
RBA,7190.0,101.0,,-0.47,-22.7,12.4,13.0,11.0,23.0,18.0,5.0,4.0,-33.0,-45.0,False,12.0,10.0,6.0,3.0,823.0,698.0,17.9,9.0,1967.0,1168.0,2.73,303.0,583.0,495.0,138.0,331.0,58.3,9.22,11.27,9.25,20.64,39.62,40.07,,2026-08-30T10:07:45,https://www.screener.in/company/RBA/consolidated/
VIJAYA,14960.0,1452.0,79.8,21.3,19.7,93.0,20.0,21.0,17.0,24.0,27.0,15.0,53.0,39.0,False,43.0,39.0,9.0,3.0,231.0,188.0,22.9,9.0,423.0,248.0,0.44,271.0,10.0,10.0,947.0,535.0,10.0,52.51,52.6,11.65,18.27,31.61,25.34,,2026-08-30T10:07:48,https://www.screener.in/company/VIJAYA/consolidated/
PNBHOUSING,30511.0,1170.0,13.2,9.4,12.7,738.0,10.0,9.0,2.0,14.0,30.0,20.0,557.0,534.0,False,32.0,34.0,9.0,0.0,,,,,,,,-8984.0,261.0,169.0,18959.0,10845.0,26.1,28.03,28.04,16.81,18.61,45.71,40.68,,2026-08-30T10:07:52,https://www.screener.in/company/PNBHOUSING/consolidated/
