symbol,market_cap_cr,current_price,pe,roce_pct,roe_pct,book_value,sales_growth_ttm,sales_growth_3y,sales_growth_5y,profit_growth_ttm,profit_growth_3y,profit_growth_5y,np_latest_q,np_yoy_q,loss_to_profit,opm_latest_q,opm_yoy_q,np_yoy_streak,opm_yoy_streak,sales_latest_q,sales_yoy_q,sales_yoy_pct,sales_yoy_streak,debt_cr,debt_3y_ago_cr,debt_to_equity,cfo_last_cr,equity_cap_now,equity_cap_3y_ago,reserves_now,reserves_3y_ago,shares_out_cr,promoter_pct,promoter_pct_4q_ago,fii_pct,fii_pct_4q_ago,dii_pct,dii_pct_4q_ago,pledge_pct,fetched_at,source
LUMAXTECH,13533.0,1986.0,40.8,21.2,26.4,178.0,33.0,38.0,34.0,77.0,43.0,44.0,99.0,54.0,False,14.0,12.0,9.0,1.0,1364.0,1026.0,32.9,9.0,1231.0,664.0,1.02,460.0,14.0,14.0,1197.0,648.0,7.0,55.98,55.98,8.7,7.33,16.53,16.59,,2026-08-30T10:08:27,https://www.screener.in/company/LUMAXTECH/consolidated/
MAHABANK,65864.0,85.6,8.74,6.03,22.6,46.4,16.0,23.0,20.0,31.0,39.0,65.0,2023.0,1504.0,False,16.0,12.0,9.0,8.0,,,,,,,,-11336.0,7692.0,6730.0,25533.0,9060.0,769.2,73.6,79.6,5.82,2.35,14.28,10.06,,2026-08-26T14:04:21,https://www.screener.in/company/MAHABANK/consolidated/
ZENTEC,16434.0,1820.0,90.4,16.2,10.7,209.0,-24.0,46.0,66.0,-28.0,67.0,128.0,32.0,53.0,False,27.0,41.0,0.0,0.0,142.0,158.0,-10.1,0.0,19.0,7.0,0.01,245.0,9.0,8.0,1880.0,308.0,9.0,48.51,48.51,6.47,5.94,10.42,7.93,,2026-08-30T10:08:30,https://www.screener.in/company/ZENTEC/consolidated/
VOLTAMP,11168.0,11038.0,35.2,23.5,17.4,1771.0,18.0,16.0,25.0,-3.0,14.0,26.0,91.0,80.0,False,15.0,17.0,1.0,0.0,544.0,424.0,28.3,1.0,1.0,0.0,0.0,140.0,10.0,10.0,1782.0,1097.0,1.0,30.0,30.0,21.53,22.85,33.85,29.69,,2026-08-30T10:08:34,https://www.screener.in/company/VOLTAMP/
MANORAMA,11926.0,1889.0,46.2,35.0,39.4,114.0,60.0,,,80.0,,,79.0,47.0,False,26.0,26.0,4.0,0.0,404.0,290.0,39.3,4.0,356.0,,0.52,250.0,12.0,,670.0,,6.0,54.32,54.32,3.22,2.52,2.63,4.45,,2026-08-30T10:08:38,https://www.screener.in/company/MANORAMA/consolidated/
YATHARTH,9321.0,967.0,51.4,12.4,10.4,185.0,44.0,36.0,41.0,27.0,39.0,57.0,45.0,42.0,False,23.0,25.0,9.0,0.0,393.0,258.0,52.3,9.0,264.0,267.0,0.15,205.0,96.0,66.0,1684.0,117.0,9.6,55.8,61.64,5.62,6.51,10.84,8.71,,2026-08-30T10:08:41,https://www.screener.in/company/YATHARTH/consolidated/
TATATECH,33879.0,834.0,52.1,20.9,16.3,96.6,15.0,8.0,18.0,-5.0,-1.0,21.0,181.0,170.0,False,16.0,16.0,2.0,0.0,1665.0,1244.0,33.8,4.0,938.0,255.0,0.24,776.0,81.0,81.0,3842.0,2908.0,40.5,55.17,55.22,6.3,5.25,4.48,2.88,,2026-08-30T10:08:44,https://www.screener.in/company/TATATECH/consolidated/
JSFB,5721.0,541.0,15.1,7.45,7.63,421.0,18.0,20.0,16.0,-12.0,8.0,29.0,155.0,102.0,False,-5.0,-13.0,2.0,2.0,,,,,,,,594.0,105.0,55.0,4328.0,1472.0,10.5,16.94,21.87,4.01,1.21,15.31,14.81,,2026-08-30T10:08:49,https://www.screener.in/company/JSFB/
GAEL,7659.0,167.0,18.3,12.5,9.72,71.8,25.0,5.0,4.0,76.0,-3.0,-2.0,177.0,65.0,False,15.0,7.0,2.0,2.0,1594.0,1291.0,23.5,5.0,441.0,229.0,0.13,228.0,46.0,23.0,3249.0,2411.0,46.0,63.84,63.84,3.02,2.04,0.65,0.6,,2026-08-30T10:08:52,https://www.screener.in/company/GAEL/consolidated/
NAM-INDIA,76416.0,1194.0,46.7,43.8,34.5,73.0,23.0,25.0,16.0,21.0,28.0,18.0,504.0,396.0,False,66.0,64.0,3.0,3.0,767.0,607.0,26.4,9.0,75.0,0.0,0.02,1466.0,638.0,623.0,4021.0,2892.0,63.8,71.8,72.1,7.04,7.65,15.49,12.95,,2026-08-30T10:08:55,https://www.screener.in/company/NAM-INDIA/consolidated/
RBLBANK,59246.0,382.0,65.9,5.81,5.43,271.0,5.0,14.0,11.0,55.0,-2.0,11.0,234.0,214.0,False,-16.0,-23.0,3.0,3.0,,,,,,,,7578.0,618.0,600.0,16106.0,12926.0,61.8,60.0,0.0,8.77,15.49,16.92,35.28,,2026-08-30T10:08:58,https://www.screener.in/company/RBLBANK/consolidated/
PRUDENT,14166.0,3421.0,57.8,37.5,28.6,213.0,19.0,30.0,35.0,21.0,24.0,37.0,75.0,52.0,False,26.0,23.0,9.0,2.0,348.0,294.0,18.4,9.0,34.0,17.0,0.04,217.0,21.0,21.0,862.0,329.0,4.2,55.31,55.31,14.28,16.85,23.95,21.47,,2026-08-30T10:09:02,https://www.screener.in/company/PRUDENT/consolidated/
BALRAMCHIN,13856.0,655.0,37.3,9.28,9.54,205.0,15.0,10.0,5.0,-11.0,10.0,-4.0,44.0,52.0,False,7.0,9.0,0.0,0.0,1637.0,1542.0,6.2,6.0,3170.0,1880.0,0.77,599.0,20.0,20.0,4118.0,2875.0,20.0,42.86,42.86,9.33,11.2,29.09,27.59,,2026-08-30T10:09:05,https://www.screener.in/company/BALRAMCHIN/consolidated/
EMCURE,35459.0,1869.0,34.4,24.0,20.1,261.0,18.0,15.0,13.0,37.0,21.0,18.0,292.0,215.0,False,21.0,20.0,9.0,1.0,2580.0,2101.0,22.8,9.0,1558.0,2334.0,0.31,944.0,190.0,181.0,4760.0,2320.0,19.0,77.83,77.88,4.87,3.29,8.46,4.36,,2026-08-28T23:03:57,https://www.screener.in/company/EMCURE/consolidated/
LALPATHLAB,32413.0,1931.0,57.6,28.0,22.3,150.0,14.0,11.0,12.0,10.0,30.0,12.0,170.0,134.0,False,31.0,29.0,1.0,1.0,798.0,670.0,19.1,9.0,199.0,420.0,0.08,636.0,168.0,83.0,2341.0,1583.0,16.8,53.19,53.21,17.35,21.86,21.59,18.22,,2026-08-30T10:09:09,https://www.screener.in/company/LALPATHLAB/consolidated/
MINDACORP,16802.0,703.0,41.7,12.7,14.7,110.0,27.0,13.0,21.0,57.0,8.0,31.0,206.0,65.0,False,11.0,11.0,5.0,0.0,1846.0,1386.0,33.2,9.0,1476.0,718.0,0.56,676.0,48.0,48.0,2591.0,1538.0,24.0,64.84,64.84,9.3,8.72,17.87,18.52,,2026-08-30T10:09:12,https://www.screener.in/company/MINDACORP/consolidated/
UJJIVANSFB,13221.0,67.8,14.6,7.73,10.8,35.1,15.0,19.0,20.0,72.0,-14.0,194.0,317.0,103.0,False,8.0,-7.0,3.0,2.0,,,,,,,,1843.0,1943.0,1955.0,4873.0,2054.0,194.3,0.0,0.0,16.81,17.05,33.45,20.13,,2026-08-30T10:09:17,https://www.screener.in/company/UJJIVANSFB/
SKIPPER,6169.0,546.0,26.6,23.6,16.6,132.0,17.0,41.0,29.0,43.0,85.0,61.0,57.0,45.0,False,11.0,10.0,9.0,1.0,1310.0,1254.0,4.5,9.0,931.0,494.0,0.62,277.0,11.0,10.0,1480.0,757.0,11.0,61.48,66.48,10.64,6.37,2.24,0.8,,2026-08-30T10:09:20,https://www.screener.in/company/SKIPPER/consolidated/
KARURVYSYA,33443.0,346.0,12.2,7.62,19.1,146.0,16.0,19.0,15.0,37.0,31.0,47.0,756.0,521.0,False,18.0,9.0,9.0,4.0,,,,,,,,-554.0,193.0,160.0,13915.0,8424.0,96.5,2.07,2.1,17.92,15.81,41.22,39.97,,2026-08-30T10:09:25,https://www.screener.in/company/KARURVYSYA/
ABCAPITAL,111014.0,406.0,27.6,8.72,12.0,131.0,16.0,15.0,19.0,18.0,-7.0,28.0,1224.0,854.0,False,13.0,12.0,3.0,2.0,,,,,,,,-36544.0,2620.0,2418.0,31804.0,17893.0,262.0,68.81,68.7,7.94,6.1,13.36,12.82,,2026-08-30T10:09:28,https://www.screener.in/company/ABCAPITAL/consolidated/
AARTIIND,19600.0,540.0,37.5,6.86,7.13,164.0,27.0,8.0,13.0,122.0,-9.0,-5.0,155.0,43.0,False,16.0,13.0,4.0,4.0,2387.0,1675.0,42.5,4.0,4966.0,2907.0,0.83,781.0,181.0,181.0,5774.0,4739.0,36.2,41.82,42.18,7.0,6.4,21.11,18.21,,2026-08-30T10:09:32,https://www.screener.in/company/AARTIIND/consolidated/
THELEELA,18543.0,555.0,41.3,8.73,8.21,192.0,19.0,21.0,,241.0,106.0,,49.0,9.0,False,36.0,37.0,5.0,0.0,352.0,275.0,28.0,5.0,1811.0,3883.0,0.28,777.0,334.0,20.0,6070.0,-2532.0,33.4,75.91,75.91,7.87,8.5,11.51,11.08,73.6,2026-08-30T10:09:35,https://www.screener.in/company/THELEELA/consolidated/
KEI,53250.0,5570.0,53.4,20.1,14.8,697.0,20.0,19.0,23.0,34.0,24.0,27.0,274.0,196.0,False,12.0,10.0,9.0,3.0,3185.0,2590.0,23.0,9.0,253.0,162.0,0.04,840.0,19.0,18.0,6646.0,2571.0,9.5,35.0,35.0,27.32,25.82,25.9,26.71,,2026-08-30T10:09:38,https://www.screener.in/company/KEI/consolidated/
SCI,13930.0,299.0,8.61,13.9,15.0,195.0,17.0,0.0,9.0,79.0,15.0,14.0,619.0,354.0,False,45.0,37.0,3.0,3.0,1847.0,1316.0,40.3,3.0,2679.0,2605.0,0.29,1343.0,466.0,466.0,8630.0,6437.0,46.6,63.75,63.75,8.98,6.49,2.09,2.58,,2026-08-30T10:09:41,https://www.screener.in/company/SCI/consolidated/
AJANTPHARM,44448.0,3557.0,39.2,34.5,27.1,362.0,20.0,13.0,14.0,22.0,24.0,12.0,334.0,255.0,False,26.0,27.0,9.0,0.0,1626.0,1303.0,24.8,9.0,260.0,36.0,0.06,529.0,25.0,25.0,4502.0,3363.0,12.5,63.49,66.25,7.68,8.53,21.8,17.9,,2026-08-30T10:09:45,https://www.screener.in/company/AJANTPHARM/consolidated/
JSWINFRA,79907.0,343.0,51.5,13.6,15.3,51.8,19.0,19.0,27.0,-3.0,29.0,40.0,358.0,390.0,False,47.0,47.0,0.0,0.0,1445.0,1224.0,18.1,9.0,6899.0,4568.0,0.63,2022.0,417.0,360.0,10460.0,3635.0,208.5,73.93,83.61,11.21,7.3,9.19,2.54,,2026-08-30T10:09:48,https://www.screener.in/company/JSWINFRA/consolidated/
EXIDEIND,37791.0,445.0,40.3,8.54,5.97,164.0,8.0,6.0,12.0,11.0,2.0,1.0,351.0,275.0,False,11.0,11.0,3.0,0.0,5528.0,4695.0,17.7,3.0,1575.0,588.0,0.11,2413.0,85.0,85.0,13820.0,11047.0,85.0,45.99,45.99,10.62,10.88,19.3,18.46,,2026-08-30T10:09:51,https://www.screener.in/company/EXIDEIND/consolidated/
ENGINERSIN,14260.0,254.0,18.2,30.4,23.4,56.0,16.0,6.0,5.0,42.0,26.0,15.0,158.0,65.0,False,15.0,8.0,1.0,1.0,820.0,870.0,-5.7,0.0,17.0,19.0,0.01,319.0,281.0,281.0,2865.0,1680.0,56.2,51.32,51.32,9.17,7.0,14.22,13.74,,2026-08-30T10:09:55,https://www.screener.in/company/ENGINERSIN/consolidated/
MANAPPURAM,32773.0,349.0,22.6,8.25,6.97,171.0,5.0,12.0,8.0,81.0,-13.0,-10.0,585.0,132.0,False,28.0,8.0,2.0,2.0,,,,,,,,-20238.0,188.0,169.0,15863.0,9476.0,94.0,41.66,35.25,22.3,30.16,14.85,9.17,,2026-08-30T10:09:58,https://www.screener.in/company/MANAPPURAM/consolidated/
AUBANK,80845.0,1077.0,237.0,12.4,22.3,,19.0,29.0,,38.0,49.0,,,,False,,,,,,,,,,,,884.0,284.0,43.0,1703.0,606.0,28.4,22.74,22.82,35.98,34.5,32.81,31.91,,2026-08-30T10:10:01,https://www.screener.in/company/AUBANK/consolidated/
ALKYLAMINE,10677.0,2090.0,56.3,41.3,41.4,105.0,17.0,26.0,16.0,120.0,54.0,33.0,49.0,19.0,False,29.0,16.0,4.0,4.0,235.0,237.0,-0.8,0.0,87.0,120.0,0.16,188.0,10.0,10.0,526.0,246.0,5.0,72.04,72.03,3.5,3.44,3.1,2.88,,2026-08-26T14:04:27,https://www.screener.in/company/ALKYLAMINE/consolidated/
GNFC,8523.0,580.0,8.22,12.0,9.14,620.0,13.0,-9.0,9.0,85.0,-18.0,3.0,312.0,83.0,False,18.0,1.9,2.0,4.0,2238.0,1601.0,39.8,4.0,5.0,2.0,0.0,654.0,147.0,155.0,8968.0,8950.0,14.7,41.3,41.3,13.11,12.08,11.02,10.69,,2026-08-28T23:04:24,https://www.screener.in/company/GNFC/consolidated/
MEDANTA,39583.0,1472.0,69.1,17.4,15.2,147.0,21.0,18.0,25.0,0.0,19.0,81.0,157.0,159.0,False,22.0,24.0,0.0,0.0,1304.0,1031.0,26.5,9.0,1190.0,1122.0,0.3,714.0,54.0,54.0,3908.0,2375.0,27.0,33.0,33.01,9.46,11.41,16.89,12.97,,2026-08-30T10:10:05,https://www.screener.in/company/MEDANTA/consolidated/
KPRMILL,38197.0,1120.0,41.9,19.6,15.7,167.0,4.0,2.0,14.0,11.0,2.0,10.0,259.0,213.0,False,19.0,18.0,5.0,2.0,1936.0,1766.0,9.6,2.0,596.0,1348.0,0.1,1108.0,34.0,34.0,5663.0,3673.0,34.0,67.52,67.52,7.02,6.45,19.25,19.38,,2026-08-25T14:01:59,https://www.screener.in/company/KPRMILL/consolidated/
METROPOLIS,12204.0,588.0,58.6,17.8,13.6,73.0,22.0,13.0,11.0,37.0,11.0,1.0,57.0,45.0,False,25.0,23.0,5.0,3.0,450.0,386.0,16.6,9.0,232.0,266.0,0.15,351.0,41.0,10.0,1472.0,978.0,20.5,48.86,48.89,11.03,12.52,35.12,33.1,,2026-08-30T10:10:08,https://www.screener.in/company/METROPOLIS/consolidated/
KPIL,23674.0,1386.0,21.3,18.3,13.7,455.0,15.0,18.0,16.0,57.0,36.0,13.0,312.0,214.0,False,9.0,9.0,6.0,0.0,6408.0,6171.0,3.8,9.0,3543.0,3786.0,0.46,1534.0,34.0,32.0,7742.0,4688.0,17.0,33.58,33.57,10.77,11.97,44.84,44.1,,2026-08-30T10:10:12,https://www.screener.in/company/KPIL/consolidated/
SMLMAH,7505.0,5186.0,48.0,30.9,35.4,359.0,18.0,16.0,37.0,10.0,100.0,26.0,64.0,67.0,False,10.0,12.0,0.0,0.0,958.0,846.0,13.2,6.0,289.0,265.0,0.56,156.0,14.0,14.0,505.0,163.0,1.4,58.97,58.97,1.24,1.8,2.43,0.63,,2026-08-30T10:10:16,https://www.screener.in/company/SMLMAH/
MIDHANI,7826.0,418.0,58.0,11.3,8.92,81.8,18.0,12.0,8.0,14.0,-6.0,-5.0,16.0,13.0,False,15.0,20.0,3.0,0.0,239.0,170.0,40.6,3.0,407.0,489.0,0.27,155.0,187.0,187.0,1345.0,1098.0,18.7,74.0,74.0,2.57,1.37,7.37,8.83,,2026-08-30T10:10:19,https://www.screener.in/company/MIDHANI/consolidated/
ELGIEQUIP,19929.0,629.0,43.0,22.1,19.0,70.4,16.0,9.0,15.0,28.0,11.0,31.0,103.0,86.0,False,15.0,14.0,6.0,2.0,1062.0,867.0,22.5,9.0,533.0,577.0,0.24,454.0,32.0,32.0,2200.0,1339.0,32.0,31.19,31.19,21.9,26.12,10.12,6.24,,2026-08-30T10:10:23,https://www.screener.in/company/ELGIEQUIP/consolidated/
SUMICHEM,25848.0,518.0,45.2,22.1,16.2,67.9,-4.0,-3.0,4.0,3.0,2.0,8.0,215.0,178.0,False,22.0,21.0,2.0,3.0,1063.0,1057.0,0.6,2.0,63.0,34.0,0.02,446.0,499.0,499.0,2891.0,1883.0,49.9,75.0,75.0,3.02,3.65,9.33,8.47,,2026-08-28T23:04:11,https://www.screener.in/company/SUMICHEM/consolidated/
EPL,8070.0,252.0,19.6,17.8,15.7,89.2,17.0,9.0,9.0,3.0,22.0,10.0,101.0,101.0,False,19.0,20.0,0.0,0.0,1388.0,1108.0,25.3,9.0,962.0,890.0,0.34,723.0,64.0,64.0,2794.0,1926.0,32.0,26.38,26.4,14.07,17.43,13.8,9.97,,2026-08-30T10:10:26,https://www.screener.in/company/EPL/consolidated/
GPPL,8158.0,169.0,15.0,28.1,20.8,49.4,25.0,8.0,10.0,39.0,13.0,17.0,148.0,104.0,False,64.0,59.0,4.0,4.0,332.0,250.0,32.8,6.0,37.0,79.0,0.02,510.0,483.0,483.0,1905.0,1827.0,48.3,44.01,44.01,22.05,19.82,13.82,15.73,,2026-08-30T10:10:29,https://www.screener.in/company/GPPL/consolidated/
BANKINDIA,65558.0,144.0,5.57,5.93,12.4,200.0,6.0,16.0,13.0,19.0,42.0,39.0,3304.0,1831.0,False,8.0,4.0,4.0,2.0,,,,,,,,4753.0,4553.0,4104.0,85405.0,56329.0,455.3,73.38,73.38,6.87,4.24,13.96,15.63,,2026-08-30T10:10:33,https://www.screener.in/company/BANKINDIA/consolidated/
BLACKBUCK,10714.0,588.0,62.4,12.8,12.3,78.2,49.0,55.0,-6.0,-53.0,37.0,22.0,42.0,34.0,False,24.0,28.0,1.0,0.0,204.0,144.0,41.7,9.0,59.0,178.0,0.04,169.0,18.0,0.01,1404.0,353.0,18.0,25.0,27.19,31.47,26.2,14.38,14.33,,2026-08-30T10:10:36,https://www.screener.in/company/BLACKBUCK/consolidated/
APOLLOTYRE,28167.0,444.0,13.2,13.9,13.1,263.0,11.0,5.0,10.0,73.0,26.0,24.0,349.0,13.0,False,12.0,13.0,3.0,0.0,7398.0,6561.0,12.8,9.0,3675.0,6421.0,0.22,3667.0,64.0,64.0,16652.0,12515.0,64.0,36.93,36.95,10.09,11.9,29.05,27.93,,2026-08-30T10:10:39,https://www.screener.in/company/APOLLOTYRE/consolidated/
JAMNAAUTO,4832.0,121.0,20.0,27.5,22.4,28.7,16.0,4.0,19.0,35.0,12.0,27.0,49.0,46.0,False,14.0,13.0,3.0,3.0,611.0,573.0,6.6,5.0,12.0,30.0,0.01,510.0,40.0,40.0,1107.0,744.0,40.0,49.84,49.93,9.01,2.37,3.91,7.04,,2026-08-30T10:10:43,https://www.screener.in/company/JAMNAAUTO/consolidated/
BALKRISIND,45238.0,2340.0,32.2,11.2,9.66,567.0,10.0,4.0,13.0,-3.0,1.0,-2.0,451.0,288.0,False,22.0,18.0,1.0,1.0,3455.0,2760.0,25.2,3.0,4111.0,3347.0,0.38,2249.0,39.0,39.0,10917.0,7518.0,19.5,58.3,58.3,10.33,10.7,24.6,24.55,,2026-08-30T10:10:46,https://www.screener.in/company/BALKRISIND/consolidated/
MRF,56017.0,132080.0,22.7,15.7,12.5,49455.0,11.0,11.0,14.0,37.0,52.0,14.0,495.0,502.0,False,12.0,14.0,0.0,0.0,8416.0,7676.0,9.6,9.0,3207.0,3014.0,0.15,4590.0,4.0,4.0,20970.0,14703.0,0.4,27.76,27.75,17.43,18.27,12.11,12.38,,2026-08-30T10:10:49,https://www.screener.in/company/MRF/consolidated/
KFINTECH,16422.0,950.0,46.9,29.2,21.6,97.0,23.0,22.0,22.0,3.0,19.0,48.0,75.0,77.0,False,34.0,41.0,0.0,0.0,357.0,274.0,30.3,9.0,55.0,160.0,0.03,370.0,173.0,169.0,1501.0,701.0,17.3,22.82,22.89,20.73,25.53,27.31,24.81,,2026-08-30T10:10:52,https://www.screener.in/company/KFINTECH/consolidated/
GODREJAGRO,11724.0,609.0,25.0,19.2,20.9,106.0,9.0,3.0,10.0,3.0,23.0,8.0,128.0,149.0,False,8.0,10.0,0.0,0.0,2855.0,2614.0,9.2,5.0,1574.0,1433.0,0.77,1281.0,192.0,192.0,1840.0,2145.0,19.2,67.75,67.54,6.48,7.21,5.28,5.18,,2026-08-30T10:10:56,https://www.screener.in/company/GODREJAGRO/consolidated/
JUBLFOOD,32362.0,490.0,84.9,14.8,21.0,34.7,16.0,23.0,23.0,42.0,8.0,14.0,100.0,94.0,False,20.0,19.0,5.0,1.0,2570.0,2261.0,13.7,9.0,4902.0,2554.0,2.14,1894.0,132.0,132.0,2160.0,1906.0,66.0,40.27,40.27,13.32,20.11,39.59,33.06,,2026-08-30T10:10:59,https://www.screener.in/company/JUBLFOOD/consolidated/
IOB,63181.0,32.8,10.6,6.12,15.6,20.2,15.0,18.0,13.0,52.0,37.0,48.0,1716.0,1178.0,False,-3.0,0.0,9.0,0.0,,,,,,,,4780.0,19257.0,18902.0,17734.0,5974.0,1925.7,92.44,94.61,0.47,0.31,4.29,2.3,,2026-08-30T10:11:03,https://www.screener.in/company/IOB/consolidated/
SUPREMEIND,46198.0,3637.0,44.8,20.7,15.8,486.0,9.0,7.0,12.0,16.0,3.0,-1.0,281.0,202.0,False,15.0,12.0,2.0,2.0,2718.0,2609.0,4.2,4.0,91.0,51.0,0.01,1225.0,25.0,25.0,6144.0,4377.0,12.5,48.96,48.9,17.08,20.66,18.98,15.96,,2026-08-30T10:11:06,https://www.screener.in/company/SUPREMEIND/consolidated/
ACUTAAS,26867.0,3282.0,69.6,31.6,24.0,202.0,41.0,30.0,32.0,104.0,62.0,46.0,75.0,44.0,False,34.0,25.0,8.0,8.0,330.0,207.0,59.4,9.0,36.0,4.0,0.02,292.0,41.0,36.0,1613.0,558.0,8.2,32.66,32.66,21.61,16.84,19.55,22.59,,2026-08-30T10:11:09,https://www.screener.in/company/ACUTAAS/consolidated/
CARBORUNIV,21276.0,1117.0,84.8,10.5,6.92,205.0,10.0,4.0,15.0,-14.0,-14.0,-3.0,80.0,60.0,False,9.0,10.0,1.0,0.0,1427.0,1219.0,17.1,8.0,413.0,277.0,0.11,367.0,19.0,19.0,3881.0,2802.0,19.0,38.9,38.96,11.13,10.87,29.05,29.82,,2026-08-30T10:11:13,https://www.screener.in/company/CARBORUNIV/consolidated/
VIYASH,11763.0,267.0,53.1,13.4,7.39,66.6,53.0,34.0,20.0,148.0,73.0,15.0,79.0,37.0,False,19.0,15.0,9.0,9.0,946.0,792.0,19.4,9.0,490.0,444.0,0.17,323.0,87.0,50.0,2824.0,649.0,43.5,61.31,52.33,4.5,5.9,3.76,12.91,,2026-08-30T10:11:16,https://www.screener.in/company/VIYASH/consolidated/
LLOYDSME,101897.0,1810.0,21.4,27.3,36.6,246.0,230.0,72.0,133.0,211.0,60.0,679.0,1734.0,642.0,False,38.0,33.0,5.0,3.0,7354.0,2384.0,208.5,4.0,20716.0,4.0,1.49,2921.0,56.0,50.0,13815.0,1478.0,56.0,61.63,63.05,1.85,2.3,2.18,2.1,,2026-08-30T10:11:20,https://www.screener.in/company/LLOYDSME/consolidated/
EDELWEISS,11871.0,125.0,18.8,14.1,13.5,48.8,14.0,7.0,-1.0,55.0,21.0,18.0,134.0,103.0,False,25.0,35.0,1.0,0.0,2328.0,2246.0,3.7,1.0,18595.0,21791.0,4.02,897.0,95.0,90.0,4528.0,6654.0,95.0,32.26,32.7,19.47,19.55,7.25,5.24,,2026-08-30T10:11:23,https://www.screener.in/company/EDELWEISS/consolidated/
THANGAMAYL,16910.0,5440.0,43.1,25.5,28.1,456.0,83.0,39.0,36.0,264.0,64.0,32.0,85.0,46.0,False,5.0,6.0,4.0,0.0,2666.0,1558.0,71.1,9.0,913.0,571.0,0.64,322.0,31.0,14.0,1385.0,375.0,3.1,61.61,61.56,5.54,4.61,16.43,15.25,,2026-08-30T10:11:28,https://www.screener.in/company/THANGAMAYL/
HFCL,38490.0,251.0,67.2,10.9,6.95,32.0,59.0,1.0,2.0,1591.0,1.0,5.0,246.0,-29.0,True,22.0,3.3,3.0,4.0,1915.0,871.0,119.9,3.0,1744.0,936.0,0.36,-378.0,153.0,138.0,4738.0,2970.0,153.0,28.29,30.02,15.74,7.48,10.92,13.57,,2026-08-30T10:11:31,https://www.screener.in/company/HFCL/consolidated/
KIRLOSENG,30895.0,2123.0,54.2,14.6,17.5,249.0,23.0,15.0,19.0,28.0,22.0,25.0,111.0,139.0,False,15.0,19.0,0.0,0.0,2000.0,1762.0,13.5,9.0,5374.0,3244.0,1.48,932.0,29.0,29.0,3591.0,2275.0,14.5,41.06,41.12,11.33,8.34,26.0,28.0,,2026-08-30T10:11:34,https://www.screener.in/company/KIRLOSENG/consolidated/
STARHEALTH,33758.0,574.0,40.0,9.69,7.61,0.0,11.0,14.0,29.0,10.0,-3.0,20.0,550.0,438.0,False,14.0,12.0,2.0,2.0,5522.0,4880.0,13.2,9.0,470.0,470.0,0.06,1873.0,588.0,582.0,6987.0,4862.0,58.8,58.01,58.03,16.04,13.51,19.41,21.09,,2026-08-30T10:11:39,https://www.screener.in/company/STARHEALTH/
BIOCON,66997.0,411.0,92.1,3.61,1.4,210.0,10.0,15.0,19.0,100.0,-15.0,-12.0,137.0,89.0,False,20.0,19.0,1.0,1.0,4336.0,3942.0,10.0,6.0,15434.0,18019.0,0.45,1994.0,810.0,600.0,33221.0,17267.0,162.0,44.68,54.45,8.14,6.61,23.33,22.06,,2026-08-30T10:11:43,https://www.screener.in/company/BIOCON/consolidated/
ENTERO,7872.0,1809.0,61.0,10.5,6.94,388.0,32.0,26.0,30.0,26.0,130.0,57.0,52.0,30.0,False,5.0,3.6,9.0,8.0,1940.0,1404.0,38.2,9.0,677.0,1101.0,0.4,96.0,44.0,4.0,1645.0,-73.0,4.4,52.4,52.42,4.36,14.68,15.48,9.64,,2026-08-30T10:11:46,https://www.screener.in/company/ENTERO/consolidated/
EQUITASBNK,8454.0,73.9,16.6,6.43,1.68,53.7,10.0,18.0,16.0,598.0,-44.0,-23.0,184.0,-224.0,True,-1.0,-36.0,4.0,2.0,,,,,,,,-3316.0,1141.0,1111.0,4984.0,4047.0,114.1,,,15.7,15.67,51.25,48.2,,2026-08-30T10:11:50,https://www.screener.in/company/EQUITASBNK/
RAIN,6704.0,199.0,12.5,8.26,0.6,238.0,17.0,-7.0,10.0,229.0,-69.0,-40.0,341.0,83.0,False,19.0,14.0,7.0,7.0,5167.0,4401.0,17.4,6.0,10795.0,8690.0,1.35,897.0,67.0,67.0,7927.0,7275.0,33.5,41.35,41.19,8.02,10.4,2.67,4.62,,2026-08-30T10:11:54,https://www.screener.in/company/RAIN/consolidated/
STLTECH,37194.0,724.0,157.0,7.65,1.24,46.5,36.0,-12.0,0.0,1490.0,-43.0,-37.0,197.0,10.0,False,20.0,13.0,7.0,2.0,1910.0,1019.0,87.4,3.0,1942.0,3834.0,0.86,520.0,98.0,80.0,2170.0,2011.0,49.0,42.29,44.45,19.71,10.93,13.27,11.04,,2026-08-30T10:11:57,https://www.screener.in/company/STLTECH/consolidated/
ASTRAMICRO,16203.0,1707.0,85.7,20.3,16.0,138.0,4.0,13.0,13.0,16.0,40.0,46.0,12.0,16.0,False,19.0,20.0,0.0,0.0,177.0,200.0,-11.5,0.0,288.0,186.0,0.22,387.0,19.0,17.0,1296.0,625.0,9.5,6.54,6.54,10.74,6.47,16.09,14.55,,2026-08-30T10:12:00,https://www.screener.in/company/ASTRAMICRO/consolidated/
SKYGOLD,12566.0,811.0,37.5,27.0,29.2,77.4,81.0,76.0,,116.0,145.0,,105.0,44.0,False,8.0,6.0,9.0,8.0,2013.0,1131.0,78.0,9.0,869.0,146.0,0.72,-45.0,155.0,11.0,1044.0,87.0,15.5,51.74,51.74,2.79,0.55,14.2,9.02,,2026-08-30T10:12:04,https://www.screener.in/company/SKYGOLD/consolidated/
